title,developer,year,plays,backlogs,wishlists,currently_playing,ratings,average_rating,reviews,audience_interest,backlog_share_pct,popularity_rank,label_text
Grand Theft Auto V,"Rockstar North, Rockstar Games",2013,142000,15000,3000,3900,91000,4,8600,157000,9.55,1,Grand Theft Auto V
Hollow Knight,Team Cherry,2017,113000,37000,11000,12000,77000,4.4,13000,150000,24.67,2,Hollow Knight
Elden Ring,"FromSoftware, Bandai Namco Entertainment",2022,120000,28000,18000,13000,88000,4.5,16000,148000,18.92,3,Elden Ring
Red Dead Redemption 2,"Rockstar Games, Take-Two Interactive",2018,114000,33000,13000,11000,82000,4.6,13000,147000,22.45,4,
The Legend of Zelda: Breath of the Wild,"Nintendo EPD Production Group No. 3, Nintendo",2017,124000,20000,9800,7400,84000,4.4,11000,144000,13.89,5,
Portal 2,"Valve, Electronic Arts",2011,121000,20000,5000,2100,76000,4.5,8100,141000,14.18,6,
Minecraft: Java Edition,Mojang Studios,2011,129000,4600,806,7800,79000,4.3,10000,133600,3.44,7,Minecraft: Java Edition
Undertale,"tobyfox, 8-4",2015,109000,23000,7200,3100,72000,4.3,11000,132000,17.42,8,
God of War,"SIE Santa Monica Studio, Sony Interactive Entertainment",2018,109000,21000,10000,3500,75000,4.3,8200,130000,16.15,9,
Hades,"Supergiant Games, Netflix",2020,102000,27000,12000,9900,67000,4.3,8300,129000,20.93,10,
Portal,"Valve, Electronic Arts",2007,115000,14000,4500,1100,71000,4.1,7100,129000,10.85,11,
Cyberpunk 2077,"CD Projekt RED, CD Projekt",2020,92000,29000,14000,9900,63000,4.1,10000,121000,23.97,12,
Stardew Valley,"ConcernedApe, Chucklefish Games",2016,99000,18000,5000,10000,60000,4.2,7600,117000,15.38,13,
The Witcher 3: Wild Hunt,"CD Projekt RED, WB Games",2015,81000,33000,7300,5600,50000,4.4,4800,114000,28.95,14,
Celeste,"Extremely OK Games, Maddy Makes Games",2018,86000,24000,7200,4700,57000,4.3,8400,110000,21.82,15,
Super Mario Odyssey,"Nintendo EPD Production Group No. 8, Nintendo",2017,97000,13000,7000,2800,63000,4.3,7200,110000,11.82,16,
Marvel's Spider-Man,"Insomniac Games, Sony Interactive Entertainment",2018,98000,11000,7400,1800,65000,4.1,6600,109000,10.09,17,
Dark Souls III,"FromSoftware, Bandai Namco Entertainment",2016,85000,19000,9900,3200,58000,4.3,7100,104000,18.27,18,
The Elder Scrolls V: Skyrim,"Bethesda Game Studios, Bethesda Softworks",2011,89000,15000,4700,2500,52000,3.9,4500,104000,14.42,19,
Cuphead,Studio MDHR,2017,82000,21000,9700,4300,50000,4.1,6200,103000,20.39,20,
Among Us,Innersloth,2018,99000,3100,345,1000,54000,3.1,7000,102100,3.04,21,
Resident Evil 2,"Capcom Development Division 1, Capcom",2019,83000,18000,7100,2800,57000,4.3,7200,101000,17.82,22,
Super Smash Bros. Ultimate,"Sora, Nintendo",2018,90000,4400,2500,2900,52000,4.1,5600,94400,4.66,23,
Bloodborne,"FromSoftware, Sony Computer Entertainment",2015,70000,24000,14000,3700,47000,4.5,6800,94000,25.53,24,
Terraria,"Re-Logic, 505 Games",2011,82000,11000,2800,2900,48000,4.1,6100,93000,11.83,25,
Grand Theft Auto: San Andreas,"Rockstar North, Rockstar Games",2004,81000,11000,3300,1200,47000,4.2,3700,92000,11.96,26,
