Year,Genre,Genre_rank,Genre_count,Genre_coded_games,Total_main_games,Prevalence_pct
1980,Indie,1,1,186,198,0.54
1980,Adventure,2,28,186,198,15.05
1980,Simulator,3,18,186,198,9.68
1980,Strategy,4,19,186,198,10.22
1980,Role-playing (RPG),5,14,186,198,7.53
1980,Puzzle,6,13,186,198,6.99
1980,Arcade,7,90,186,198,48.39
1980,Shooter,8,68,186,198,36.56
1980,Platformer,9,4,186,198,2.15
1980,Sport,10,20,186,198,10.75
1980,Visual Novel,11,0,186,198,0.0
1980,Racing,12,8,186,198,4.3
1981,Indie,1,2,303,328,0.66
1981,Adventure,2,47,303,328,15.51
1981,Simulator,3,23,303,328,7.59
1981,Strategy,4,36,303,328,11.88
1981,Role-playing (RPG),5,11,303,328,3.63
1981,Puzzle,6,20,303,328,6.6
1981,Arcade,7,174,303,328,57.43
1981,Shooter,8,115,303,328,37.95
1981,Platformer,9,7,303,328,2.31
1981,Sport,10,16,303,328,5.28
1981,Visual Novel,11,0,303,328,0.0
1981,Racing,12,14,303,328,4.62
1982,Indie,1,2,703,746,0.28
1982,Adventure,2,86,703,746,12.23
1982,Simulator,3,45,703,746,6.4
1982,Strategy,4,52,703,746,7.4
1982,Role-playing (RPG),5,23,703,746,3.27
1982,Puzzle,6,60,703,746,8.53
1982,Arcade,7,429,703,746,61.02
1982,Shooter,8,242,703,746,34.42
1982,Platformer,9,43,703,746,6.12
1982,Sport,10,32,703,746,4.55
1982,Visual Novel,11,0,703,746,0.0
1982,Racing,12,18,703,746,2.56
1983,Indie,1,1,937,1040,0.11
1983,Adventure,2,120,937,1040,12.81
1983,Simulator,3,47,937,1040,5.02
1983,Strategy,4,57,937,1040,6.08
1983,Role-playing (RPG),5,30,937,1040,3.2
1983,Puzzle,6,89,937,1040,9.5
1983,Arcade,7,507,937,1040,54.11
1983,Shooter,8,276,937,1040,29.46
1983,Platformer,9,115,937,1040,12.27
1983,Sport,10,44,937,1040,4.7
1983,Visual Novel,11,2,937,1040,0.21
1983,Racing,12,40,937,1040,4.27
1984,Indie,1,2,760,823,0.26
1984,Adventure,2,141,760,823,18.55
1984,Simulator,3,64,760,823,8.42
1984,Strategy,4,59,760,823,7.76
1984,Role-playing (RPG),5,30,760,823,3.95
1984,Puzzle,6,76,760,823,10.0
1984,Arcade,7,343,760,823,45.13
1984,Shooter,8,166,760,823,21.84
1984,Platformer,9,143,760,823,18.82
1984,Sport,10,56,760,823,7.37
1984,Visual Novel,11,3,760,823,0.39
1984,Racing,12,40,760,823,5.26
1985,Indie,1,1,593,643,0.17
1985,Adventure,2,146,593,643,24.62
1985,Simulator,3,59,593,643,9.95
1985,Strategy,4,57,593,643,9.61
1985,Role-playing (RPG),5,31,593,643,5.23
1985,Puzzle,6,110,593,643,18.55
1985,Arcade,7,171,593,643,28.84
1985,Shooter,8,116,593,643,19.56
1985,Platformer,9,100,593,643,16.86
1985,Sport,10,66,593,643,11.13
1985,Visual Novel,11,2,593,643,0.34
1985,Racing,12,33,593,643,5.56
1986,Indie,1,3,600,661,0.5
1986,Adventure,2,176,600,661,29.33
1986,Simulator,3,49,600,661,8.17
1986,Strategy,4,46,600,661,7.67
1986,Role-playing (RPG),5,35,600,661,5.83
1986,Puzzle,6,80,600,661,13.33
1986,Arcade,7,151,600,661,25.17
1986,Shooter,8,153,600,661,25.5
1986,Platformer,9,112,600,661,18.67
1986,Sport,10,62,600,661,10.33
1986,Visual Novel,11,9,600,661,1.5
1986,Racing,12,36,600,661,6.0
1987,Indie,1,4,791,848,0.51
1987,Adventure,2,204,791,848,25.79
1987,Simulator,3,64,791,848,8.09
1987,Strategy,4,64,791,848,8.09
1987,Role-playing (RPG),5,83,791,848,10.49
1987,Puzzle,6,84,791,848,10.62
1987,Arcade,7,231,791,848,29.2
1987,Shooter,8,214,791,848,27.05
1987,Platformer,9,132,791,848,16.69
1987,Sport,10,84,791,848,10.62
1987,Visual Novel,11,14,791,848,1.77
1987,Racing,12,40,791,848,5.06
1988,Indie,1,1,729,782,0.14
1988,Adventure,2,159,729,782,21.81
1988,Simulator,3,59,729,782,8.09
1988,Strategy,4,61,729,782,8.37
1988,Role-playing (RPG),5,55,729,782,7.54
1988,Puzzle,6,47,729,782,6.45
1988,Arcade,7,189,729,782,25.93
1988,Shooter,8,195,729,782,26.75
1988,Platformer,9,108,729,782,14.81
1988,Sport,10,111,729,782,15.23
1988,Visual Novel,11,17,729,782,2.33
1988,Racing,12,56,729,782,7.68
1989,Indie,1,3,847,905,0.35
1989,Adventure,2,178,847,905,21.02
1989,Simulator,3,75,847,905,8.85
1989,Strategy,4,96,847,905,11.33
1989,Role-playing (RPG),5,86,847,905,10.15
1989,Puzzle,6,89,847,905,10.51
1989,Arcade,7,153,847,905,18.06
1989,Shooter,8,153,847,905,18.06
1989,Platformer,9,109,847,905,12.87
1989,Sport,10,131,847,905,15.47
1989,Visual Novel,11,17,847,905,2.01
1989,Racing,12,59,847,905,6.97
1990,Indie,1,2,958,1055,0.21
1990,Adventure,2,195,958,1055,20.35
1990,Simulator,3,77,958,1055,8.04
1990,Strategy,4,130,958,1055,13.57
1990,Role-playing (RPG),5,111,958,1055,11.59
1990,Puzzle,6,160,958,1055,16.7
1990,Arcade,7,130,958,1055,13.57
1990,Shooter,8,174,958,1055,18.16
1990,Platformer,9,151,958,1055,15.76
1990,Sport,10,129,958,1055,13.47
1990,Visual Novel,11,17,958,1055,1.77
1990,Racing,12,51,958,1055,5.32
1991,Indie,1,4,1096,1201,0.36
1991,Adventure,2,204,1096,1201,18.61
1991,Simulator,3,87,1096,1201,7.94
1991,Strategy,4,134,1096,1201,12.23
1991,Role-playing (RPG),5,124,1096,1201,11.31
1991,Puzzle,6,145,1096,1201,13.23
1991,Arcade,7,133,1096,1201,12.14
1991,Shooter,8,193,1096,1201,17.61
1991,Platformer,9,195,1096,1201,17.79
1991,Sport,10,139,1096,1201,12.68
1991,Visual Novel,11,12,1096,1201,1.09
1991,Racing,12,64,1096,1201,5.84
1992,Indie,1,5,1116,1214,0.45
1992,Adventure,2,228,1116,1214,20.43
1992,Simulator,3,98,1116,1214,8.78
1992,Strategy,4,135,1116,1214,12.1
1992,Role-playing (RPG),5,148,1116,1214,13.26
1992,Puzzle,6,151,1116,1214,13.53
1992,Arcade,7,126,1116,1214,11.29
1992,Shooter,8,176,1116,1214,15.77
1992,Platformer,9,187,1116,1214,16.76
1992,Sport,10,172,1116,1214,15.41
1992,Visual Novel,11,21,1116,1214,1.88
1992,Racing,12,50,1116,1214,4.48
1993,Indie,1,2,1204,1293,0.17
1993,Adventure,2,246,1204,1293,20.43
1993,Simulator,3,112,1204,1293,9.3
1993,Strategy,4,127,1204,1293,10.55
1993,Role-playing (RPG),5,137,1204,1293,11.38
1993,Puzzle,6,148,1204,1293,12.29
1993,Arcade,7,100,1204,1293,8.31
1993,Shooter,8,160,1204,1293,13.29
1993,Platformer,9,195,1204,1293,16.2
1993,Sport,10,181,1204,1293,15.03
1993,Visual Novel,11,32,1204,1293,2.66
1993,Racing,12,67,1204,1293,5.56
1994,Indie,1,9,1374,1476,0.66
1994,Adventure,2,267,1374,1476,19.43
1994,Simulator,3,129,1374,1476,9.39
1994,Strategy,4,140,1374,1476,10.19
1994,Role-playing (RPG),5,144,1374,1476,10.48
1994,Puzzle,6,161,1374,1476,11.72
1994,Arcade,7,112,1374,1476,8.15
1994,Shooter,8,170,1374,1476,12.37
1994,Platformer,9,200,1374,1476,14.56
1994,Sport,10,259,1374,1476,18.85
1994,Visual Novel,11,36,1374,1476,2.62
1994,Racing,12,80,1374,1476,5.82
1995,Indie,1,8,1425,1555,0.56
1995,Adventure,2,291,1425,1555,20.42
1995,Simulator,3,153,1425,1555,10.74
1995,Strategy,4,137,1425,1555,9.61
1995,Role-playing (RPG),5,154,1425,1555,10.81
1995,Puzzle,6,201,1425,1555,14.11
1995,Arcade,7,112,1425,1555,7.86
1995,Shooter,8,182,1425,1555,12.77
1995,Platformer,9,120,1425,1555,8.42
1995,Sport,10,243,1425,1555,17.05
1995,Visual Novel,11,42,1425,1555,2.95
1995,Racing,12,87,1425,1555,6.11
1996,Indie,1,9,1308,1401,0.69
1996,Adventure,2,288,1308,1401,22.02
1996,Simulator,3,144,1308,1401,11.01
1996,Strategy,4,139,1308,1401,10.63
1996,Role-playing (RPG),5,137,1308,1401,10.47
1996,Puzzle,6,187,1308,1401,14.3
1996,Arcade,7,133,1308,1401,10.17
1996,Shooter,8,176,1308,1401,13.46
1996,Platformer,9,110,1308,1401,8.41
1996,Sport,10,188,1308,1401,14.37
1996,Visual Novel,11,51,1308,1401,3.9
1996,Racing,12,84,1308,1401,6.42
