Period,Period_order,Genre,Genre_rank,Genre_count,Genre_coded_games,Total_main_games,Genre_share_pct
1980–84,1,Indie,1,8,2889,3135,0.28
1980–84,1,Adventure,2,422,2889,3135,14.61
1980–84,1,Simulator,3,197,2889,3135,6.82
1980–84,1,Strategy,4,223,2889,3135,7.72
1980–84,1,Role-playing (RPG),5,108,2889,3135,3.74
1980–84,1,Puzzle,6,258,2889,3135,8.93
1980–84,1,Arcade,7,1543,2889,3135,53.41
1980–84,1,Shooter,8,867,2889,3135,30.01
1980–84,1,Platformer,9,312,2889,3135,10.8
1980–84,1,Sport,10,168,2889,3135,5.82
1980–84,1,Visual Novel,11,5,2889,3135,0.17
1980–84,1,Racing,12,120,2889,3135,4.15
1985–89,2,Indie,1,12,3560,3839,0.34
1985–89,2,Adventure,2,863,3560,3839,24.24
1985–89,2,Simulator,3,306,3560,3839,8.6
1985–89,2,Strategy,4,324,3560,3839,9.1
1985–89,2,Role-playing (RPG),5,290,3560,3839,8.15
1985–89,2,Puzzle,6,410,3560,3839,11.52
1985–89,2,Arcade,7,895,3560,3839,25.14
1985–89,2,Shooter,8,831,3560,3839,23.34
1985–89,2,Platformer,9,561,3560,3839,15.76
1985–89,2,Sport,10,454,3560,3839,12.75
1985–89,2,Visual Novel,11,59,3560,3839,1.66
1985–89,2,Racing,12,224,3560,3839,6.29
1990–94,3,Indie,1,22,5748,6239,0.38
1990–94,3,Adventure,2,1140,5748,6239,19.83
1990–94,3,Simulator,3,503,5748,6239,8.75
1990–94,3,Strategy,4,666,5748,6239,11.59
1990–94,3,Role-playing (RPG),5,664,5748,6239,11.55
1990–94,3,Puzzle,6,765,5748,6239,13.31
1990–94,3,Arcade,7,601,5748,6239,10.46
1990–94,3,Shooter,8,873,5748,6239,15.19
1990–94,3,Platformer,9,928,5748,6239,16.14
1990–94,3,Sport,10,880,5748,6239,15.31
1990–94,3,Visual Novel,11,118,5748,6239,2.05
1990–94,3,Racing,12,312,5748,6239,5.43
1995–99,4,Indie,1,61,6559,7146,0.93
1995–99,4,Adventure,2,1416,6559,7146,21.59
1995–99,4,Simulator,3,878,6559,7146,13.39
1995–99,4,Strategy,4,768,6559,7146,11.71
1995–99,4,Role-playing (RPG),5,696,6559,7146,10.61
1995–99,4,Puzzle,6,857,6559,7146,13.07
1995–99,4,Arcade,7,547,6559,7146,8.34
1995–99,4,Shooter,8,793,6559,7146,12.09
1995–99,4,Platformer,9,482,6559,7146,7.35
1995–99,4,Sport,10,962,6559,7146,14.67
1995–99,4,Visual Novel,11,264,6559,7146,4.03
1995–99,4,Racing,12,514,6559,7146,7.84
2000–04,5,Indie,1,179,7088,7855,2.53
2000–04,5,Adventure,2,1547,7088,7855,21.83
2000–04,5,Simulator,3,932,7088,7855,13.15
2000–04,5,Strategy,4,860,7088,7855,12.13
2000–04,5,Role-playing (RPG),5,827,7088,7855,11.67
2000–04,5,Puzzle,6,752,7088,7855,10.61
2000–04,5,Arcade,7,583,7088,7855,8.23
2000–04,5,Shooter,8,802,7088,7855,11.31
2000–04,5,Platformer,9,599,7088,7855,8.45
2000–04,5,Sport,10,1031,7088,7855,14.55
2000–04,5,Visual Novel,11,317,7088,7855,4.47
2000–04,5,Racing,12,658,7088,7855,9.28
2005–09,6,Indie,1,634,9061,10413,7.0
2005–09,6,Adventure,2,2003,9061,10413,22.11
2005–09,6,Simulator,3,1256,9061,10413,13.86
2005–09,6,Strategy,4,1032,9061,10413,11.39
2005–09,6,Role-playing (RPG),5,985,9061,10413,10.87
2005–09,6,Puzzle,6,1521,9061,10413,16.79
