Era,Era_order,Genre,Genre_order,Distinct_title_count,Era_distinct_titles,Genre_share_pct,Coverage
1980–84,1,Action,1,280,534,52.43,Lower coverage
1980–84,1,Adventure,2,31,534,5.81,Lower coverage
1980–84,1,Role-Playing (RPG),3,12,534,2.25,Lower coverage
1980–84,1,Sports,4,34,534,6.37,Lower coverage
1980–84,1,Shooter,5,84,534,15.73,Lower coverage
1980–84,1,Strategy,6,15,534,2.81,Lower coverage
1980–84,1,Puzzle,7,23,534,4.31,Lower coverage
1980–84,1,Simulation,8,10,534,1.87,Lower coverage
1980–84,1,Platformer,9,30,534,5.62,Lower coverage
1980–84,1,Racing,10,15,534,2.81,Lower coverage
1985–89,2,Action,1,152,897,16.95,Lower coverage
1985–89,2,Adventure,2,115,897,12.82,Lower coverage
1985–89,2,Role-Playing (RPG),3,119,897,13.27,Lower coverage
1985–89,2,Sports,4,118,897,13.15,Lower coverage
1985–89,2,Shooter,5,133,897,14.83,Lower coverage
1985–89,2,Strategy,6,35,897,3.9,Lower coverage
1985–89,2,Puzzle,7,37,897,4.12,Lower coverage
1985–89,2,Simulation,8,33,897,3.68,Lower coverage
1985–89,2,Platformer,9,110,897,12.26,Lower coverage
1985–89,2,Racing,10,45,897,5.02,Lower coverage
1990–94,3,Action,1,466,2865,16.27,Moderate coverage
1990–94,3,Adventure,2,190,2865,6.63,Moderate coverage
1990–94,3,Role-Playing (RPG),3,353,2865,12.32,Moderate coverage
1990–94,3,Sports,4,442,2865,15.43,Moderate coverage
1990–94,3,Shooter,5,315,2865,10.99,Moderate coverage
1990–94,3,Strategy,6,174,2865,6.07,Moderate coverage
1990–94,3,Puzzle,7,187,2865,6.53,Moderate coverage
1990–94,3,Simulation,8,109,2865,3.8,Moderate coverage
1990–94,3,Platformer,9,476,2865,16.61,Moderate coverage
1990–94,3,Racing,10,153,2865,5.34,Moderate coverage
1995–99,4,Action,1,309,3481,8.88,Higher coverage
1995–99,4,Adventure,2,449,3481,12.9,Higher coverage
1995–99,4,Role-Playing (RPG),3,388,3481,11.15,Higher coverage
1995–99,4,Sports,4,514,3481,14.77,Higher coverage
1995–99,4,Shooter,5,364,3481,10.46,Higher coverage
1995–99,4,Strategy,6,426,3481,12.24,Higher coverage
1995–99,4,Puzzle,7,210,3481,6.03,Higher coverage
1995–99,4,Simulation,8,303,3481,8.7,Higher coverage
1995–99,4,Platformer,9,212,3481,6.09,Higher coverage
1995–99,4,Racing,10,306,3481,8.79,Higher coverage
2000–04,5,Action,1,622,4884,12.74,Higher coverage
2000–04,5,Adventure,2,683,4884,13.98,Higher coverage
2000–04,5,Role-Playing (RPG),3,569,4884,11.65,Higher coverage
2000–04,5,Sports,4,707,4884,14.48,Higher coverage
2000–04,5,Shooter,5,425,4884,8.7,Higher coverage
2000–04,5,Strategy,6,576,4884,11.79,Higher coverage
2000–04,5,Puzzle,7,227,4884,4.65,Higher coverage
2000–04,5,Simulation,8,358,4884,7.33,Higher coverage
2000–04,5,Platformer,9,277,4884,5.67,Higher coverage
2000–04,5,Racing,10,440,4884,9.01,Higher coverage
2005–09,6,Action,1,997,7172,13.9,Higher coverage
2005–09,6,Adventure,2,1076,7172,15.0,Higher coverage
2005–09,6,Role-Playing (RPG),3,751,7172,10.47,Higher coverage
2005–09,6,Sports,4,729,7172,10.16,Higher coverage
2005–09,6,Shooter,5,736,7172,10.26,Higher coverage
2005–09,6,Strategy,6,643,7172,8.97,Higher coverage
2005–09,6,Puzzle,7,823,7172,11.48,Higher coverage
2005–09,6,Simulation,8,670,7172,9.34,Higher coverage
2005–09,6,Platformer,9,314,7172,4.38,Higher coverage
2005–09,6,Racing,10,433,7172,6.04,Higher coverage
2010–14,7,Action,1,979,4928,19.87,Higher coverage
2010–14,7,Adventure,2,726,4928,14.73,Higher coverage
2010–14,7,Role-Playing (RPG),3,576,4928,11.69,Higher coverage
2010–14,7,Sports,4,369,4928,7.49,Higher coverage
2010–14,7,Shooter,5,476,4928,9.66,Higher coverage
2010–14,7,Strategy,6,395,4928,8.02,Higher coverage
2010–14,7,Puzzle,7,523,4928,10.61,Higher coverage
2010–14,7,Simulation,8,386,4928,7.83,Higher coverage
2010–14,7,Platformer,9,266,4928,5.4,Higher coverage
2010–14,7,Racing,10,232,4928,4.71,Higher coverage
2015–19,8,Action,1,679,2806,24.2,Moderate coverage
2015–19,8,Adventure,2,437,2806,15.57,Moderate coverage
2015–19,8,Role-Playing (RPG),3,427,2806,15.22,Moderate coverage
2015–19,8,Sports,4,151,2806,5.38,Moderate coverage
2015–19,8,Shooter,5,223,2806,7.95,Moderate coverage
2015–19,8,Strategy,6,195,2806,6.95,Moderate coverage
2015–19,8,Puzzle,7,204,2806,7.27,Moderate coverage
2015–19,8,Simulation,8,203,2806,7.23,Moderate coverage
2015–19,8,Platformer,9,172,2806,6.13,Moderate coverage
2015–19,8,Racing,10,115,2806,4.1,Moderate coverage
2020–24,9,Action,1,88,628,14.01,Lower coverage
2020–24,9,Adventure,2,70,628,11.15,Lower coverage
2020–24,9,Role-Playing (RPG),3,147,628,23.41,Lower coverage
2020–24,9,Sports,4,45,628,7.17,Lower coverage
2020–24,9,Shooter,5,72,628,11.46,Lower coverage
2020–24,9,Strategy,6,54,628,8.6,Lower coverage
2020–24,9,Puzzle,7,27,628,4.3,Lower coverage
2020–24,9,Simulation,8,42,628,6.69,Lower coverage
2020–24,9,Platformer,9,40,628,6.37,Lower coverage
2020–24,9,Racing,10,43,628,6.85,Lower coverage
