Genre,Genre_order,Theme,Theme_order,Pair_count,Genre_theme_coded_games,All_genre_theme_coded_games,Theme_pct_within_genre,Theme_baseline_pct,Association_pp,Association_ratio
Indie,1,Action,1,35256,50810,106913,69.39,60.37,9.02,1.15
Indie,1,Fantasy,2,6201,50810,106913,12.2,14.87,-2.66,0.82
Indie,1,Science fiction,3,4452,50810,106913,8.76,11.88,-3.12,0.74
Indie,1,Horror,4,5743,50810,106913,11.3,9.23,2.07,1.22
Indie,1,Comedy,5,3272,50810,106913,6.44,7.55,-1.11,0.85
Indie,1,Erotic,6,3023,50810,106913,5.95,5.14,0.81,1.16
Indie,1,Mystery,7,2396,50810,106913,4.72,4.5,0.22,1.05
Indie,1,Kids,8,1080,50810,106913,2.13,3.87,-1.74,0.55
Indie,1,Romance,9,1194,50810,106913,2.35,3.85,-1.5,0.61
Indie,1,Survival,10,2402,50810,106913,4.73,3.63,1.1,1.3
Indie,1,Educational,11,794,50810,106913,1.56,3.36,-1.79,0.47
Indie,1,Historical,12,972,50810,106913,1.91,3.27,-1.35,0.59
Adventure,2,Action,1,26376,41600,106913,63.4,60.37,3.04,1.05
Adventure,2,Fantasy,2,7776,41600,106913,18.69,14.87,3.83,1.26
Adventure,2,Science fiction,3,4182,41600,106913,10.05,11.88,-1.83,0.85
Adventure,2,Horror,4,5999,41600,106913,14.42,9.23,5.19,1.56
Adventure,2,Comedy,5,3448,41600,106913,8.29,7.55,0.74,1.1
Adventure,2,Erotic,6,1963,41600,106913,4.72,5.14,-0.43,0.92
Adventure,2,Mystery,7,3387,41600,106913,8.14,4.5,3.64,1.81
Adventure,2,Kids,8,1418,41600,106913,3.41,3.87,-0.46,0.88
Adventure,2,Romance,9,1350,41600,106913,3.25,3.85,-0.6,0.84
Adventure,2,Survival,10,2170,41600,106913,5.22,3.63,1.59,1.44
Adventure,2,Educational,11,976,41600,106913,2.35,3.36,-1.01,0.7
Adventure,2,Historical,12,1290,41600,106913,3.1,3.27,-0.17,0.95
Role-playing (RPG),3,Action,1,10119,17279,106913,58.56,60.37,-1.81,0.97
Role-playing (RPG),3,Fantasy,2,6696,17279,106913,38.75,14.87,23.89,2.61
Role-playing (RPG),3,Science fiction,3,1945,17279,106913,11.26,11.88,-0.63,0.95
Role-playing (RPG),3,Horror,4,1194,17279,106913,6.91,9.23,-2.32,0.75
Role-playing (RPG),3,Comedy,5,1064,17279,106913,6.16,7.55,-1.39,0.82
Role-playing (RPG),3,Erotic,6,968,17279,106913,5.6,5.14,0.46,1.09
Role-playing (RPG),3,Mystery,7,625,17279,106913,3.62,4.5,-0.88,0.8
Role-playing (RPG),3,Kids,8,227,17279,106913,1.31,3.87,-2.56,0.34
Role-playing (RPG),3,Romance,9,503,17279,106913,2.91,3.85,-0.94,0.76
Role-playing (RPG),3,Survival,10,840,17279,106913,4.86,3.63,1.23,1.34
Role-playing (RPG),3,Educational,11,154,17279,106913,0.89,3.36,-2.46,0.27
Role-playing (RPG),3,Historical,12,767,17279,106913,4.44,3.27,1.17,1.36
Simulator,4,Action,1,8377,17101,106913,48.99,60.37,-11.38,0.81
Simulator,4,Fantasy,2,1534,17101,106913,8.97,14.87,-5.9,0.6
Simulator,4,Science fiction,3,1555,17101,106913,9.09,11.88,-2.79,0.77
Simulator,4,Horror,4,1104,17101,106913,6.46,9.23,-2.77,0.7
Simulator,4,Comedy,5,1186,17101,106913,6.94,7.55,-0.61,0.92
Simulator,4,Erotic,6,1327,17101,106913,7.76,5.14,2.62,1.51
Simulator,4,Mystery,7,427,17101,106913,2.5,4.5,-2.0,0.56
Simulator,4,Kids,8,940,17101,106913,5.5,3.87,1.63,1.42
Simulator,4,Romance,9,792,17101,106913,4.63,3.85,0.78,1.2
Simulator,4,Survival,10,846,17101,106913,4.95,3.63,1.32,1.36
Simulator,4,Educational,11,833,17101,106913,4.87,3.36,1.52,1.45
Simulator,4,Historical,12,835,17101,106913,4.88,3.27,1.62,1.49
Strategy,5,Action,1,8622,15654,106913,55.08,60.37,-5.29,0.91
Strategy,5,Fantasy,2,3181,15654,106913,20.32,14.87,5.46,1.37
Strategy,5,Science fiction,3,2294,15654,106913,14.65,11.88,2.77,1.23
Strategy,5,Horror,4,700,15654,106913,4.47,9.23,-4.76,0.48
Strategy,5,Comedy,5,833,15654,106913,5.32,7.55,-2.23,0.7
Strategy,5,Erotic,6,450,15654,106913,2.87,5.14,-2.27,0.56
Strategy,5,Mystery,7,280,15654,106913,1.79,4.5,-2.71,0.4
Strategy,5,Kids,8,482,15654,106913,3.08,3.87,-0.79,0.8
Strategy,5,Romance,9,98,15654,106913,0.63,3.85,-3.22,0.16
Strategy,5,Survival,10,841,15654,106913,5.37,3.63,1.74,1.48
Strategy,5,Educational,11,464,15654,106913,2.96,3.36,-0.39,0.88
Strategy,5,Historical,12,1338,15654,106913,8.55,3.27,5.28,2.62
Arcade,6,Action,1,11171,13495,106913,82.78,60.37,22.41,1.37
Arcade,6,Fantasy,2,1278,13495,106913,9.47,14.87,-5.4,0.64
Arcade,6,Science fiction,3,2385,13495,106913,17.67,11.88,5.79,1.49
Arcade,6,Horror,4,462,13495,106913,3.42,9.23,-5.81,0.37
Arcade,6,Comedy,5,1046,13495,106913,7.75,7.55,0.2,1.03
Arcade,6,Erotic,6,128,13495,106913,0.95,5.14,-4.2,0.18
Arcade,6,Mystery,7,80,13495,106913,0.59,4.5,-3.9,0.13
Arcade,6,Kids,8,819,13495,106913,6.07,3.87,2.2,1.57
Arcade,6,Romance,9,29,13495,106913,0.21,3.85,-3.63,0.06
Arcade,6,Survival,10,442,13495,106913,3.28,3.63,-0.36,0.9
Arcade,6,Educational,11,305,13495,106913,2.26,3.36,-1.1,0.67
Arcade,6,Historical,12,193,13495,106913,1.43,3.27,-1.84,0.44
Puzzle,7,Action,1,5341,12879,106913,41.47,60.37,-18.9,0.69
Puzzle,7,Fantasy,2,2305,12879,106913,17.9,14.87,3.03,1.2
Puzzle,7,Science fiction,3,1607,12879,106913,12.48,11.88,0.6,1.05
Puzzle,7,Horror,4,1813,12879,106913,14.08,9.23,4.85,1.53
Puzzle,7,Comedy,5,1491,12879,106913,11.58,7.55,4.03,1.53
Puzzle,7,Erotic,6,406,12879,106913,3.15,5.14,-1.99,0.61
Puzzle,7,Mystery,7,1720,12879,106913,13.36,4.5,8.86,2.97
Puzzle,7,Kids,8,1321,12879,106913,10.26,3.87,6.39,2.65
Puzzle,7,Romance,9,155,12879,106913,1.2,3.85,-2.64,0.31
Puzzle,7,Survival,10,471,12879,106913,3.66,3.63,0.03,1.01
Puzzle,7,Educational,11,1359,12879,106913,10.55,3.36,7.2,3.14
Puzzle,7,Historical,12,412,12879,106913,3.2,3.27,-0.07,0.98
Shooter,8,Action,1,11540,12812,106913,90.07,60.37,29.7,1.49
Shooter,8,Fantasy,2,1081,12812,106913,8.44,14.87,-6.43,0.57
Shooter,8,Science fiction,3,4525,12812,106913,35.32,11.88,23.44,2.97
Shooter,8,Horror,4,1217,12812,106913,9.5,9.23,0.27,1.03
Shooter,8,Comedy,5,730,12812,106913,5.7,7.55,-1.85,0.75
Shooter,8,Erotic,6,81,12812,106913,0.63,5.14,-4.51,0.12
Shooter,8,Mystery,7,133,12812,106913,1.04,4.5,-3.46,0.23
Shooter,8,Kids,8,136,12812,106913,1.06,3.87,-2.81,0.27
Shooter,8,Romance,9,16,12812,106913,0.12,3.85,-3.72,0.03
Shooter,8,Survival,10,917,12812,106913,7.16,3.63,3.53,1.97
Shooter,8,Educational,11,73,12812,106913,0.57,3.36,-2.79,0.17
Shooter,8,Historical,12,389,12812,106913,3.04,3.27,-0.23,0.93
Platformer,9,Action,1,9174,10875,106913,84.36,60.37,23.99,1.4
Platformer,9,Fantasy,2,2140,10875,106913,19.68,14.87,4.81,1.32
Platformer,9,Science fiction,3,1604,10875,106913,14.75,11.88,2.87,1.24
Platformer,9,Horror,4,600,10875,106913,5.52,9.23,-3.71,0.6
Platformer,9,Comedy,5,1357,10875,106913,12.48,7.55,4.93,1.65
Platformer,9,Erotic,6,39,10875,106913,0.36,5.14,-4.79,0.07
Platformer,9,Mystery,7,238,10875,106913,2.19,4.5,-2.31,0.49
Platformer,9,Kids,8,691,10875,106913,6.35,3.87,2.48,1.64
Platformer,9,Romance,9,27,10875,106913,0.25,3.85,-3.6,0.06
Platformer,9,Survival,10,207,10875,106913,1.9,3.63,-1.73,0.52
Platformer,9,Educational,11,190,10875,106913,1.75,3.36,-1.61,0.52
