Year,Genre,Genre_order,Genre_count,Year_release_records,Genre_share_pct,Coverage
1980,Action,1,3,35,8.57,Sparse (<500 records)
1980,Adventure,2,3,35,8.57,Sparse (<500 records)
1980,Sports,3,12,35,34.29,Sparse (<500 records)
1980,Role-Playing (RPG),4,0,35,0.0,Sparse (<500 records)
1980,Shooter,5,1,35,2.86,Sparse (<500 records)
1980,Platformer,6,0,35,0.0,Sparse (<500 records)
1980,Strategy,7,4,35,11.43,Sparse (<500 records)
1980,Puzzle,8,0,35,0.0,Sparse (<500 records)
1980,Racing,9,2,35,5.71,Sparse (<500 records)
1980,Simulation,10,1,35,2.86,Sparse (<500 records)
1980,Fighting,11,2,35,5.71,Sparse (<500 records)
1980,Action-Adventure,12,0,35,0.0,Sparse (<500 records)
1981,Action,1,11,50,22.0,Sparse (<500 records)
1981,Adventure,2,3,50,6.0,Sparse (<500 records)
1981,Sports,3,8,50,16.0,Sparse (<500 records)
1981,Role-Playing (RPG),4,3,50,6.0,Sparse (<500 records)
1981,Shooter,5,13,50,26.0,Sparse (<500 records)
1981,Platformer,6,3,50,6.0,Sparse (<500 records)
1981,Strategy,7,1,50,2.0,Sparse (<500 records)
1981,Puzzle,8,1,50,2.0,Sparse (<500 records)
1981,Racing,9,1,50,2.0,Sparse (<500 records)
1981,Simulation,10,1,50,2.0,Sparse (<500 records)
1981,Fighting,11,0,50,0.0,Sparse (<500 records)
1981,Action-Adventure,12,1,50,2.0,Sparse (<500 records)
1982,Action,1,105,214,49.07,Sparse (<500 records)
1982,Adventure,2,6,214,2.8,Sparse (<500 records)
1982,Sports,3,6,214,2.8,Sparse (<500 records)
1982,Role-Playing (RPG),4,6,214,2.8,Sparse (<500 records)
1982,Shooter,5,47,214,21.96,Sparse (<500 records)
1982,Platformer,6,9,214,4.21,Sparse (<500 records)
1982,Strategy,7,6,214,2.8,Sparse (<500 records)
1982,Puzzle,8,11,214,5.14,Sparse (<500 records)
1982,Racing,9,2,214,0.93,Sparse (<500 records)
1982,Simulation,10,7,214,3.27,Sparse (<500 records)
1982,Fighting,11,0,214,0.0,Sparse (<500 records)
1982,Action-Adventure,12,2,214,0.93,Sparse (<500 records)
1983,Action,1,154,298,51.68,Sparse (<500 records)
1983,Adventure,2,13,298,4.36,Sparse (<500 records)
1983,Sports,3,12,298,4.03,Sparse (<500 records)
1983,Role-Playing (RPG),4,3,298,1.01,Sparse (<500 records)
1983,Shooter,5,43,298,14.43,Sparse (<500 records)
1983,Platformer,6,34,298,11.41,Sparse (<500 records)
1983,Strategy,7,2,298,0.67,Sparse (<500 records)
1983,Puzzle,8,16,298,5.37,Sparse (<500 records)
1983,Racing,9,9,298,3.02,Sparse (<500 records)
1983,Simulation,10,0,298,0.0,Sparse (<500 records)
1983,Fighting,11,0,298,0.0,Sparse (<500 records)
1983,Action-Adventure,12,3,298,1.01,Sparse (<500 records)
1984,Action,1,34,102,33.33,Sparse (<500 records)
1984,Adventure,2,14,102,13.73,Sparse (<500 records)
1984,Sports,3,3,102,2.94,Sparse (<500 records)
1984,Role-Playing (RPG),4,3,102,2.94,Sparse (<500 records)
1984,Shooter,5,12,102,11.76,Sparse (<500 records)
1984,Platformer,6,7,102,6.86,Sparse (<500 records)
1984,Strategy,7,2,102,1.96,Sparse (<500 records)
1984,Puzzle,8,4,102,3.92,Sparse (<500 records)
1984,Racing,9,3,102,2.94,Sparse (<500 records)
1984,Simulation,10,4,102,3.92,Sparse (<500 records)
1984,Fighting,11,1,102,0.98,Sparse (<500 records)
1984,Action-Adventure,12,2,102,1.96,Sparse (<500 records)
1985,Action,1,10,101,9.9,Sparse (<500 records)
1985,Adventure,2,11,101,10.89,Sparse (<500 records)
1985,Sports,3,9,101,8.91,Sparse (<500 records)
1985,Role-Playing (RPG),4,11,101,10.89,Sparse (<500 records)
1985,Shooter,5,12,101,11.88,Sparse (<500 records)
1985,Platformer,6,8,101,7.92,Sparse (<500 records)
1985,Strategy,7,2,101,1.98,Sparse (<500 records)
1985,Puzzle,8,8,101,7.92,Sparse (<500 records)
1985,Racing,9,4,101,3.96,Sparse (<500 records)
1985,Simulation,10,3,101,2.97,Sparse (<500 records)
1985,Fighting,11,2,101,1.98,Sparse (<500 records)
1985,Action-Adventure,12,0,101,0.0,Sparse (<500 records)
1986,Action,1,18,159,11.32,Sparse (<500 records)
1986,Adventure,2,20,159,12.58,Sparse (<500 records)
1986,Sports,3,10,159,6.29,Sparse (<500 records)
1986,Role-Playing (RPG),4,15,159,9.43,Sparse (<500 records)
1986,Shooter,5,20,159,12.58,Sparse (<500 records)
1986,Platformer,6,24,159,15.09,Sparse (<500 records)
1986,Strategy,7,6,159,3.77,Sparse (<500 records)
1986,Puzzle,8,6,159,3.77,Sparse (<500 records)
1986,Racing,9,3,159,1.89,Sparse (<500 records)
1986,Simulation,10,13,159,8.18,Sparse (<500 records)
1986,Fighting,11,7,159,4.4,Sparse (<500 records)
1986,Action-Adventure,12,3,159,1.89,Sparse (<500 records)
1987,Action,1,35,270,12.96,Sparse (<500 records)
1987,Adventure,2,29,270,10.74,Sparse (<500 records)
1987,Sports,3,37,270,13.7,Sparse (<500 records)
1987,Role-Playing (RPG),4,20,270,7.41,Sparse (<500 records)
1987,Shooter,5,34,270,12.59,Sparse (<500 records)
1987,Platformer,6,34,270,12.59,Sparse (<500 records)
1987,Strategy,7,8,270,2.96,Sparse (<500 records)
1987,Puzzle,8,16,270,5.93,Sparse (<500 records)
1987,Racing,9,11,270,4.07,Sparse (<500 records)
1987,Simulation,10,6,270,2.22,Sparse (<500 records)
1987,Fighting,11,7,270,2.59,Sparse (<500 records)
1987,Action-Adventure,12,4,270,1.48,Sparse (<500 records)
1988,Action,1,57,294,19.39,Sparse (<500 records)
1988,Adventure,2,30,294,10.2,Sparse (<500 records)
1988,Sports,3,38,294,12.93,Sparse (<500 records)
1988,Role-Playing (RPG),4,32,294,10.88,Sparse (<500 records)
1988,Shooter,5,40,294,13.61,Sparse (<500 records)
1988,Platformer,6,35,294,11.9,Sparse (<500 records)
1988,Strategy,7,10,294,3.4,Sparse (<500 records)
1988,Puzzle,8,6,294,2.04,Sparse (<500 records)
1988,Racing,9,9,294,3.06,Sparse (<500 records)
1988,Simulation,10,6,294,2.04,Sparse (<500 records)
1988,Fighting,11,1,294,0.34,Sparse (<500 records)
1988,Action-Adventure,12,1,294,0.34,Sparse (<500 records)
1989,Action,1,78,426,18.31,Sparse (<500 records)
1989,Adventure,2,34,426,7.98,Sparse (<500 records)
1989,Sports,3,44,426,10.33,Sparse (<500 records)
1989,Role-Playing (RPG),4,50,426,11.74,Sparse (<500 records)
1989,Shooter,5,60,426,14.08,Sparse (<500 records)
1989,Platformer,6,38,426,8.92,Sparse (<500 records)
1989,Strategy,7,16,426,3.76,Sparse (<500 records)
1989,Puzzle,8,19,426,4.46,Sparse (<500 records)
1989,Racing,9,22,426,5.16,Sparse (<500 records)
1989,Simulation,10,16,426,3.76,Sparse (<500 records)
1989,Fighting,11,7,426,1.64,Sparse (<500 records)
