combination_id,combination_label,combination_order,intersection_count,intersection_share_pct,mode,mode_order,included,connector_start,connector_end,mode_total,eligible_games,top12_coverage_pct
C01,Single player + Multiplayer,1,11010,40.06,Single player,1,1,Single player,Multiplayer,22057,27482,95.45
C01,Single player + Multiplayer,1,11010,40.06,Multiplayer,2,1,Single player,Multiplayer,24694,27482,95.45
C01,Single player + Multiplayer,1,11010,40.06,Co-operative,3,0,Single player,Multiplayer,9929,27482,95.45
C01,Single player + Multiplayer,1,11010,40.06,Split screen,4,0,Single player,Multiplayer,3053,27482,95.45
C01,Single player + Multiplayer,1,11010,40.06,Massively Multiplayer Online (MMO),5,0,Single player,Multiplayer,2706,27482,95.45
C01,Single player + Multiplayer,1,11010,40.06,Battle Royale,6,0,Single player,Multiplayer,402,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Single player,1,1,Single player,Co-operative,22057,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Multiplayer,2,1,Single player,Co-operative,24694,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Co-operative,3,1,Single player,Co-operative,9929,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Split screen,4,0,Single player,Co-operative,3053,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Massively Multiplayer Online (MMO),5,0,Single player,Co-operative,2706,27482,95.45
C02,Single player + Multiplayer + Co-operative,2,6189,22.52,Battle Royale,6,0,Single player,Co-operative,402,27482,95.45
C03,Multiplayer,3,2400,8.73,Single player,1,0,Multiplayer,Multiplayer,22057,27482,95.45
C03,Multiplayer,3,2400,8.73,Multiplayer,2,1,Multiplayer,Multiplayer,24694,27482,95.45
C03,Multiplayer,3,2400,8.73,Co-operative,3,0,Multiplayer,Multiplayer,9929,27482,95.45
C03,Multiplayer,3,2400,8.73,Split screen,4,0,Multiplayer,Multiplayer,3053,27482,95.45
