Country,ParticipationPct
Philippines,96.5
Indonesia,95.3
Vietnam,94.7
Turkey,94.0
India,93.8
South Africa,93.1
Thailand,92.0
Taiwan,91.9
Mexico,91.5
Brazil,89.3
Greece,89.3
Malaysia,88.6
Hong Kong,88.3
Hungary,88.3
Egypt,87.8
Romania,87.2
Saudi Arabia,87.1
Bulgaria,86.9
Chile,86.5
Portugal,86.5
United States of America,86.4
Croatia,86.2
France,86.1
Argentina,85.2
Colombia,84.2
Italy,84.1
Spain,84.0
New Zealand,83.7
Poland,83.4
Singapore,82.9
Israel,82.6
United Arab Emirates,82.5
South Korea,82.1
Canada,81.9
Denmark,81.7
Russia,80.7
Sweden,80.4
Netherlands,80.3
Germany,80.0
Australia,79.7
Norway,79.2
Austria,78.7
Ireland,78.4
Belgium,78.1
Switzerland,78.0
United Kingdom,78.0
Czechia,76.9
China,76.8
Japan,74.7
