Year,Genre,Genre_order,Distinct_title_count,Year_distinct_titles,Genre_share_pct,Coverage_note
1980,Action,1,3,28,10.71,Lower coverage
1980,Adventure,2,3,28,10.71,Lower coverage
1980,Role-Playing (RPG),3,0,28,0.0,Lower coverage
1980,Sports,4,12,28,42.86,Lower coverage
1980,Shooter,5,1,28,3.57,Lower coverage
1980,Strategy,6,3,28,10.71,Lower coverage
1980,Puzzle,7,1,28,3.57,Lower coverage
1980,Simulation,8,1,28,3.57,Lower coverage
1980,Other,9,4,28,14.29,Lower coverage
1981,Action,1,11,43,25.58,Lower coverage
1981,Adventure,2,3,43,6.98,Lower coverage
1981,Role-Playing (RPG),3,3,43,6.98,Lower coverage
1981,Sports,4,6,43,13.95,Lower coverage
1981,Shooter,5,13,43,30.23,Lower coverage
1981,Strategy,6,1,43,2.33,Lower coverage
1981,Puzzle,7,1,43,2.33,Lower coverage
1981,Simulation,8,1,43,2.33,Lower coverage
1981,Other,9,4,43,9.3,Lower coverage
1982,Action,1,99,183,54.1,Lower coverage
1982,Adventure,2,6,183,3.28,Lower coverage
1982,Role-Playing (RPG),3,6,183,3.28,Lower coverage
1982,Sports,4,6,183,3.28,Lower coverage
1982,Shooter,5,37,183,20.22,Lower coverage
1982,Strategy,6,6,183,3.28,Lower coverage
1982,Puzzle,7,7,183,3.83,Lower coverage
1982,Simulation,8,6,183,3.28,Lower coverage
1982,Other,9,10,183,5.46,Lower coverage
1983,Action,1,144,228,63.16,Higher coverage
1983,Adventure,2,8,228,3.51,Higher coverage
1983,Role-Playing (RPG),3,2,228,0.88,Higher coverage
1983,Sports,4,8,228,3.51,Higher coverage
1983,Shooter,5,27,228,11.84,Higher coverage
1983,Strategy,6,3,228,1.32,Higher coverage
1983,Puzzle,7,11,228,4.82,Higher coverage
1983,Simulation,8,0,228,0.0,Higher coverage
1983,Other,9,25,228,10.96,Higher coverage
1984,Action,1,23,61,37.7,Lower coverage
1984,Adventure,2,11,61,18.03,Lower coverage
1984,Role-Playing (RPG),3,1,61,1.64,Lower coverage
1984,Sports,4,2,61,3.28,Lower coverage
1984,Shooter,5,6,61,9.84,Lower coverage
1984,Strategy,6,2,61,3.28,Lower coverage
1984,Puzzle,7,3,61,4.92,Lower coverage
1984,Simulation,8,2,61,3.28,Lower coverage
1984,Other,9,11,61,18.03,Lower coverage
1985,Action,1,9,62,14.52,Lower coverage
1985,Adventure,2,7,62,11.29,Lower coverage
1985,Role-Playing (RPG),3,8,62,12.9,Lower coverage
1985,Sports,4,7,62,11.29,Lower coverage
1985,Shooter,5,10,62,16.13,Lower coverage
1985,Strategy,6,2,62,3.23,Lower coverage
1985,Puzzle,7,5,62,8.06,Lower coverage
1985,Simulation,8,2,62,3.23,Lower coverage
1985,Other,9,12,62,19.35,Lower coverage
1986,Action,1,15,129,11.63,Lower coverage
1986,Adventure,2,18,129,13.95,Lower coverage
1986,Role-Playing (RPG),3,15,129,11.63,Lower coverage
1986,Sports,4,10,129,7.75,Lower coverage
1986,Shooter,5,18,129,13.95,Lower coverage
1986,Strategy,6,6,129,4.65,Lower coverage
1986,Puzzle,7,6,129,4.65,Lower coverage
1986,Simulation,8,12,129,9.3,Lower coverage
1986,Other,9,29,129,22.48,Lower coverage
1987,Action,1,26,196,13.27,Lower coverage
1987,Adventure,2,30,196,15.31,Lower coverage
1987,Role-Playing (RPG),3,18,196,9.18,Lower coverage
1987,Sports,4,33,196,16.84,Lower coverage
1987,Shooter,5,27,196,13.78,Lower coverage
1987,Strategy,6,5,196,2.55,Lower coverage
1987,Puzzle,7,10,196,5.1,Lower coverage
1987,Simulation,8,3,196,1.53,Lower coverage
1987,Other,9,44,196,22.45,Lower coverage
1988,Action,1,41,216,18.98,Higher coverage
1988,Adventure,2,28,216,12.96,Higher coverage
1988,Role-Playing (RPG),3,28,216,12.96,Higher coverage
1988,Sports,4,33,216,15.28,Higher coverage
1988,Shooter,5,33,216,15.28,Higher coverage
1988,Strategy,6,9,216,4.17,Higher coverage
1988,Puzzle,7,4,216,1.85,Higher coverage
1988,Simulation,8,4,216,1.85,Higher coverage
1988,Other,9,36,216,16.67,Higher coverage
1989,Action,1,61,320,19.06,Higher coverage
1989,Adventure,2,32,320,10.0,Higher coverage
1989,Role-Playing (RPG),3,50,320,15.62,Higher coverage
1989,Sports,4,35,320,10.94,Higher coverage
1989,Shooter,5,45,320,14.06,Higher coverage
1989,Strategy,6,13,320,4.06,Higher coverage
1989,Puzzle,7,12,320,3.75,Higher coverage
1989,Simulation,8,12,320,3.75,Higher coverage
1989,Other,9,60,320,18.75,Higher coverage
1990,Action,1,99,502,19.72,Higher coverage
1990,Adventure,2,22,502,4.38,Higher coverage
1990,Role-Playing (RPG),3,61,502,12.15,Higher coverage
1990,Sports,4,61,502,12.15,Higher coverage
