Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Wii Sports,Wii,2006.0,Sports,8.0,322.0
Mario Kart Wii,Wii,2008.0,Racing,8.3,709.0
Wii Sports Resort,Wii,2009.0,Sports,8.0,192.0
New Super Mario Bros.,DS,2006.0,Platform,8.5,431.0
New Super Mario Bros. Wii,Wii,2009.0,Platform,8.4,594.0
Mario Kart DS,DS,2005.0,Racing,8.6,464.0
Wii Fit,Wii,2007.0,Sports,7.7,146.0
Wii Fit Plus,Wii,2009.0,Sports,7.4,52.0
Grand Theft Auto V,PS3,2013.0,Action,8.2,3994.0
Grand Theft Auto: San Andreas,PS2,2004.0,Action,9.0,1588.0
Grand Theft Auto V,X360,2013.0,Action,8.1,3711.0
Grand Theft Auto: Vice City,PS2,2002.0,Action,8.7,730.0
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,7.1,19.0
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,8.4,314.0
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,3.4,8713.0
Call of Duty: Black Ops,X360,2010.0,Shooter,6.3,1454.0
Call of Duty: Black Ops II,PS3,2012.0,Shooter,5.3,922.0
Call of Duty: Black Ops II,X360,2012.0,Shooter,4.8,2256.0
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,6.3,2698.0
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,3.2,5234.0
Grand Theft Auto III,PS2,2001.0,Action,8.5,664.0
Super Smash Bros. Brawl,Wii,2008.0,Fighting,8.9,1662.0
Mario Kart 7,3DS,2011.0,Racing,8.2,632.0
Call of Duty: Black Ops,PS3,2010.0,Shooter,6.4,1094.0
Grand Theft Auto V,PS4,2014.0,Action,8.3,2899.0
Animal Crossing: Wild World,DS,2005.0,Simulation,8.7,242.0
Halo 3,X360,2007.0,Shooter,7.8,4100.0
Gran Turismo 4,PS2,2004.0,Racing,8.5,272.0
Super Mario Galaxy,Wii,2007.0,Platform,8.9,2147.0
Grand Theft Auto IV,X360,2008.0,Action,7.9,2951.0
