family,platform,platform_full,recorded_sales_millions,platform_share_all_percent,family_recorded_sales_millions,family_share_all_percent,sales_records,total_records,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
PlayStation,PS2,PlayStation 2,1027.76,15.56,3265.75,49.44,2126,3565,59.6,0,49.4368,0,31.4709,0,49.4368,0,100.0
PlayStation,PS3,PlayStation 3,839.7,12.71,3265.75,49.44,1348,1905,70.8,0,49.4368,31.4709,57.1832,0,49.4368,0,100.0
PlayStation,PS,PlayStation,546.25,8.27,3265.75,49.44,1130,2707,41.7,0,38.4017,57.1832,78.7164,0,49.4368,0,100.0
PlayStation,PS4,PlayStation 4,539.92,8.17,3265.75,49.44,908,2878,31.5,0,38.4017,78.7164,100.0,0,49.4368,0,100.0
PlayStation,PSP,PlayStation Portable,245.29,3.71,3265.75,49.44,1340,1807,74.2,38.4017,49.4368,57.1832,90.8322,0,49.4368,0,100.0
PlayStation,PSV,PlayStation Vita,63.02,0.95,3265.75,49.44,680,1105,61.5,38.4017,48.8077,90.8322,100.0,0,49.4368,0,100.0
PlayStation,PSN,PlayStation Network,3.81,0.06,3265.75,49.44,15,2004,0.7,48.8077,49.4368,90.8322,100.0,0,49.4368,0,100.0
Nintendo,Wii,Nintendo Wii,459.44,6.95,1664.98,25.2,1357,1676,81.0,49.4368,77.3034,0,24.9582,49.4368,100.0,0,49.8473
Nintendo,DS,Nintendo DS,458.17,6.94,1664.98,25.2,2396,3288,72.9,49.4368,77.3034,24.9582,49.8473,49.4368,100.0,0,49.8473
Nintendo,GBA,Game Boy Advance,224.48,3.4,1664.98,25.2,899,1659,54.2,77.3034,100.0,0,14.9721,49.4368,100.0,0,49.8473
Nintendo,GC,Nintendo GameCube,119.53,1.81,1664.98,25.2,528,663,79.6,77.3034,89.7025,14.9721,29.5654,49.4368,100.0,0,49.8473
Nintendo,3DS,Nintendo 3DS,99.27,1.5,1664.98,25.2,562,1192,47.1,89.7025,100.0,14.9721,29.5654,49.4368,100.0,0,49.8473
Nintendo,N64,Nintendo 64,93.79,1.42,1664.98,25.2,279,393,71.0,77.3034,89.2081,29.5654,41.4917,49.4368,100.0,0,49.8473
Nintendo,SNES,Super Nintendo Entertainment System,65.71,0.99,1664.98,25.2,197,1211,16.3,77.3034,89.2081,41.4917,49.8473,49.4368,100.0,0,49.8473
Nintendo,NES,Nintendo Entertainment System,47.93,0.73,1664.98,25.2,48,1106,4.3,89.2081,100.0,29.5654,36.2887,49.4368,100.0,0,49.8473
Nintendo,NS,Nintendo Switch,36.46,0.55,1664.98,25.2,263,2337,11.3,89.2081,94.6821,36.2887,46.3714,49.4368,100.0,0,49.8473
Nintendo,WiiU,Nintendo Wii U,35.42,0.54,1664.98,25.2,148,554,26.7,94.6821,100.0,36.2887,46.3714,49.4368,100.0,0,49.8473
Nintendo,GB,Game Boy,19.84,0.3,1664.98,25.2,46,1599,2.9,89.2081,97.8486,46.3714,49.8473,49.4368,100.0,0,49.8473
Nintendo,GBC,Game Boy Color,4.34,0.07,1664.98,25.2,3,16,18.8,97.8486,100.0,46.3714,49.4251,49.4368,100.0,0,49.8473
Nintendo,VC,Virtual Console,0.35,0.01,1664.98,25.2,6,661,0.9,97.8486,99.1036,49.4251,49.8473,49.4368,100.0,0,49.8473
Nintendo,WW,WiiWare,0.25,0.0,1664.98,25.2,2,465,0.4,99.1036,100.0,49.4251,49.8473,49.4368,100.0,0,49.8473
Xbox,X360,Xbox 360,859.79,13.02,1361.0,20.6,1302,1735,75.0,49.4368,90.5169,49.8473,81.5305,49.4368,90.5169,49.8473,100.0
Xbox,XOne,Xbox One,268.96,4.07,1361.0,20.6,524,1963,26.7,49.4368,71.4812,81.5305,100.0,49.4368,90.5169,49.8473,100.0
Xbox,XB,Xbox,232.05,3.51,1361.0,20.6,836,982,85.1,71.4812,90.5005,81.5305,100.0,49.4368,90.5169,49.8473,100.0
Xbox,XBL,Xbox Live,0.2,0.0,1361.0,20.6,8,2120,0.4,90.5005,90.5169,81.5305,100.0,49.4368,90.5169,49.8473,100.0
PC / Mac,PC,PC,168.99,2.56,169.02,2.56,1560,12617,12.4,90.5169,100.0,49.8473,76.8233,90.5169,100.0,49.8473,76.828
