family,platform,platform_full,distinct_titles,platform_share_all_percent,family_platform_title_total,family_share_all_percent,platform_share_family_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
Nintendo,DS,Nintendo DS,3264,5.249,17604,28.307,18.541,0.35,16.51835,0.35,31.96268,0,51.54452,0,54.91807
Nintendo,NS,Nintendo Switch,2334,3.753,17604,28.307,13.258,0.35,16.51835,31.96268,54.56807,0,51.54452,0,54.91807
Nintendo,Wii,Wii,1670,2.685,17604,28.307,9.486,16.51835,26.06686,0.35,27.73783,0,51.54452,0,54.91807
Nintendo,GBA,Game Boy Advance,1636,2.631,17604,28.307,9.293,16.51835,26.06686,27.73783,54.56807,0,51.54452,0,54.91807
Nintendo,GB,Game Boy,1595,2.565,17604,28.307,9.06,26.06686,34.1597,0.35,31.21289,0,51.54452,0,54.91807
Nintendo,SNES,Super Nintendo Entertainment System,1207,1.941,17604,28.307,6.856,26.06686,34.1597,31.21289,54.56807,0,51.54452,0,54.91807
Nintendo,3DS,Nintendo 3DS,1185,1.905,17604,28.307,6.731,34.1597,37.58226,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,NES,Nintendo Entertainment System,1103,1.774,17604,28.307,6.266,37.58226,40.76799,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,DSiW,DSiWare,751,1.208,17604,28.307,4.266,40.76799,42.93705,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,GC,GameCube,663,1.066,17604,28.307,3.766,42.93705,44.85195,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,VC,Virtual Console,660,1.061,17604,28.307,3.749,44.85195,46.75819,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,WiiU,Wii U,553,0.889,17604,28.307,3.141,46.75819,48.35538,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,WW,WiiWare,464,0.746,17604,28.307,2.636,48.35538,49.69553,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,N64,Nintendo 64,387,0.622,17604,28.307,2.198,49.69553,50.81327,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,DSi,Nintendo DSi,76,0.122,17604,28.307,0.432,50.81327,51.03278,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,VB,Virtual Boy,22,0.035,17604,28.307,0.125,51.03278,51.09632,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,iQue,iQue,17,0.027,17604,28.307,0.097,51.09632,51.14542,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,GBC,Game Boy Color,16,0.026,17604,28.307,0.091,51.14542,51.19163,0.35,54.56807,0,51.54452,0,54.91807
Nintendo,FDS,Famicom Disk System,1,0.002,17604,28.307,0.006,51.19163,51.19452,0.35,54.56807,0,51.54452,0,54.91807
PlayStation,PS2,PlayStation 2,3551,5.71,16549,26.611,21.457,51.89452,70.42073,0.35,30.33884,51.54452,100.0,0,54.91807
PlayStation,PS4,PlayStation 4,2869,4.613,16549,26.611,17.336,51.89452,70.42073,30.33884,54.56807,51.54452,100.0,0,54.91807
PlayStation,PS,PlayStation,2694,4.332,16549,26.611,16.279,70.42073,83.96332,0.35,31.47369,51.54452,100.0,0,54.91807
PlayStation,PSN,PlayStation Network,1999,3.214,16549,26.611,12.079,70.42073,83.96332,31.47369,54.56807,51.54452,100.0,0,54.91807
PlayStation,PS3,PlayStation 3,1894,3.046,16549,26.611,11.445,83.96332,89.42884,0.35,54.56807,51.54452,100.0,0,54.91807
PlayStation,PSP,PlayStation Portable,1802,2.898,16549,26.611,10.889,89.42884,94.62888,0.35,54.56807,51.54452,100.0,0,54.91807
PlayStation,PSV,PlayStation Vita,1092,1.756,16549,26.611,6.599,94.62888,97.78007,0.35,54.56807,51.54452,100.0,0,54.91807
PlayStation,PS5,PlayStation 5,648,1.042,16549,26.611,3.916,97.78007,99.65,0.35,54.56807,51.54452,100.0,0,54.91807
PC / Computer,PC,PC,12573,20.217,13766,22.136,91.334,0.35,99.65,55.26807,74.84614,0,100.0,54.91807,77.05382
PC / Computer,OSX,Mac OS X,671,1.079,13766,22.136,4.874,0.35,99.65,74.84614,75.89099,0,100.0,54.91807,77.05382
PC / Computer,Linux,Linux,368,0.592,13766,22.136,2.673,0.35,99.65,75.89099,76.46402,0,100.0,54.91807,77.05382
PC / Computer,C64,Commodore 64,34,0.055,13766,22.136,0.247,0.35,99.65,76.46402,76.51696,0,100.0,54.91807,77.05382
PC / Computer,Amig,Amiga,30,0.048,13766,22.136,0.218,0.35,99.65,76.51696,76.56368,0,100.0,54.91807,77.05382
PC / Computer,MSD,MS-DOS,27,0.043,13766,22.136,0.196,0.35,99.65,76.56368,76.60572,0,100.0,54.91807,77.05382
PC / Computer,ACPC,Amstrad CPC,20,0.032,13766,22.136,0.145,0.35,99.65,76.60572,76.63686,0,100.0,54.91807,77.05382
PC / Computer,ZXS,ZX Spectrum,19,0.031,13766,22.136,0.138,0.35,99.65,76.63686,76.66645,0,100.0,54.91807,77.05382
PC / Computer,MSX,MSX,9,0.014,13766,22.136,0.065,0.35,99.65,76.66645,76.68046,0,100.0,54.91807,77.05382
PC / Computer,ApII,Apple II,6,0.01,13766,22.136,0.044,0.35,99.65,76.68046,76.68981,0,100.0,54.91807,77.05382
PC / Computer,CD32,Amiga CD32,3,0.005,13766,22.136,0.022,0.35,99.65,76.68981,76.69448,0,100.0,54.91807,77.05382
PC / Computer,FMT,FM Towns,3,0.005,13766,22.136,0.022,0.35,99.65,76.69448,76.69915,0,100.0,54.91807,77.05382
PC / Computer,C128,Commodore 128,1,0.002,13766,22.136,0.007,0.35,99.65,76.69915,76.70071,0,100.0,54.91807,77.05382
PC / Computer,Aco,Acorn,1,0.002,13766,22.136,0.007,0.35,99.65,76.70071,76.70226,0,100.0,54.91807,77.05382
PC / Computer,BBCM,BBC Micro,1,0.002,13766,22.136,0.007,0.35,99.65,76.70226,76.70382,0,100.0,54.91807,77.05382
Xbox,XBL,Xbox Live Arcade,2119,3.407,7412,11.919,28.589,0.35,99.65,77.40382,80.61105,0,100.0,77.05382,88.97233
Xbox,XOne,Xbox One,1962,3.155,7412,11.919,26.471,0.35,99.65,80.61105,83.58066,0,100.0,77.05382,88.97233
Xbox,X360,Xbox 360,1730,2.782,7412,11.919,23.341,0.35,99.65,83.58066,86.19912,0,100.0,77.05382,88.97233
Xbox,XB,Xbox,981,1.577,7412,11.919,13.235,0.35,99.65,86.19912,87.68392,0,100.0,77.05382,88.97233
Xbox,XS,Xbox Series X/S,620,0.997,7412,11.919,8.365,0.35,99.65,87.68392,88.62233,0,100.0,77.05382,88.97233
