family,platform,platform_full,distinct_titles,platform_share_all_percent,family_platform_title_total,family_share_all_percent,platform_share_family_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
Nintendo,DS,Nintendo DS,3264,5.249,17604,28.307,18.541,0.35,29.99568,2.2,18.85283,0,51.54452,0,54.91807
Nintendo,NS,Nintendo Switch,2334,3.753,17604,28.307,13.258,29.99568,51.19452,2.2,18.85283,0,51.54452,0,54.91807
Nintendo,Wii,Wii,1670,2.685,17604,28.307,9.486,0.35,14.35066,18.85283,36.89411,0,51.54452,0,54.91807
Nintendo,GBA,Game Boy Advance,1636,2.631,17604,28.307,9.293,0.35,14.35066,36.89411,54.56807,0,51.54452,0,54.91807
Nintendo,GB,Game Boy,1595,2.565,17604,28.307,9.06,14.35066,31.23531,18.85283,33.14072,0,51.54452,0,54.91807
Nintendo,SNES,Super Nintendo Entertainment System,1207,1.941,17604,28.307,6.856,14.35066,31.23531,33.14072,43.95293,0,51.54452,0,54.91807
Nintendo,3DS,Nintendo 3DS,1185,1.905,17604,28.307,6.731,14.35066,31.23531,43.95293,54.56807,0,51.54452,0,54.91807
Nintendo,NES,Nintendo Entertainment System,1103,1.774,17604,28.307,6.266,31.23531,43.10964,18.85283,32.90249,0,51.54452,0,54.91807
Nintendo,DSiW,DSiWare,751,1.208,17604,28.307,4.266,43.10964,51.19452,18.85283,32.90249,0,51.54452,0,54.91807
Nintendo,GC,GameCube,663,1.066,17604,28.307,3.766,31.23531,41.23755,32.90249,42.92822,0,51.54452,0,54.91807
Nintendo,VC,Virtual Console,660,1.061,17604,28.307,3.749,41.23755,51.19452,32.90249,42.92822,0,51.54452,0,54.91807
Nintendo,WiiU,Wii U,553,0.889,17604,28.307,3.141,31.23531,38.42115,42.92822,54.56807,0,51.54452,0,54.91807
Nintendo,WW,WiiWare,464,0.746,17604,28.307,2.636,38.42115,44.45049,42.92822,54.56807,0,51.54452,0,54.91807
Nintendo,N64,Nintendo 64,387,0.622,17604,28.307,2.198,44.45049,51.19452,42.92822,51.60765,0,51.54452,0,54.91807
Nintendo,DSi,Nintendo DSi,76,0.122,17604,28.307,0.432,44.45049,48.33342,51.60765,54.56807,0,51.54452,0,54.91807
Nintendo,VB,Virtual Boy,22,0.035,17604,28.307,0.125,48.33342,49.94737,51.60765,53.66937,0,51.54452,0,54.91807
Nintendo,iQue,iQue,17,0.027,17604,28.307,0.097,49.94737,51.19452,51.60765,53.66937,0,51.54452,0,54.91807
Nintendo,GBC,Game Boy Color,16,0.026,17604,28.307,0.091,48.33342,51.02622,53.66937,54.56807,0,51.54452,0,54.91807
Nintendo,FDS,Famicom Disk System,1,0.002,17604,28.307,0.006,51.02622,51.19452,53.66937,54.56807,0,51.54452,0,54.91807
PlayStation,PS2,PlayStation 2,3551,5.71,16549,26.611,21.457,51.89452,78.30881,2.2,22.51561,51.54452,100.0,0,54.91807
PlayStation,PS4,PlayStation 4,2869,4.613,16549,26.611,17.336,78.30881,99.65,2.2,22.51561,51.54452,100.0,0,54.91807
PlayStation,PS,PlayStation,2694,4.332,16549,26.611,16.279,51.89452,74.02074,22.51561,40.91521,51.54452,100.0,0,54.91807
PlayStation,PSN,PlayStation Network,1999,3.214,16549,26.611,12.079,51.89452,74.02074,40.91521,54.56807,51.54452,100.0,0,54.91807
PlayStation,PS3,PlayStation 3,1894,3.046,16549,26.611,11.445,74.02074,87.15435,22.51561,44.30845,51.54452,100.0,0,54.91807
PlayStation,PSP,PlayStation Portable,1802,2.898,16549,26.611,10.889,87.15435,99.65,22.51561,44.30845,51.54452,100.0,0,54.91807
PlayStation,PSV,PlayStation Vita,1092,1.756,16549,26.611,6.599,74.02074,90.10531,44.30845,54.56807,51.54452,100.0,0,54.91807
PlayStation,PS5,PlayStation 5,648,1.042,16549,26.611,3.916,90.10531,99.65,44.30845,54.56807,51.54452,100.0,0,54.91807
PC / Computer,PC,PC,12573,20.217,13766,22.136,91.334,0.35,44.55658,57.11807,99.65,0,49.10116,54.91807,100.0
PC / Computer,OSX,Mac OS X,671,1.079,13766,22.136,4.874,44.55658,48.75116,57.11807,81.04005,0,49.10116,54.91807,100.0
PC / Computer,Linux,Linux,368,0.592,13766,22.136,2.673,44.55658,48.75116,81.04005,94.15971,0,49.10116,54.91807,100.0
PC / Computer,C64,Commodore 64,34,0.055,13766,22.136,0.247,44.55658,46.78495,94.15971,96.44139,0,49.10116,54.91807,100.0
PC / Computer,Amig,Amiga,30,0.048,13766,22.136,0.218,46.78495,48.75116,94.15971,96.44139,0,49.10116,54.91807,100.0
PC / Computer,MSD,MS-DOS,27,0.043,13766,22.136,0.196,44.55658,46.74708,96.44139,98.28463,0,49.10116,54.91807,100.0
PC / Computer,ACPC,Amstrad CPC,20,0.032,13766,22.136,0.145,44.55658,46.74708,98.28463,99.65,0,49.10116,54.91807,100.0
PC / Computer,ZXS,ZX Spectrum,19,0.031,13766,22.136,0.138,46.74708,48.75116,96.44139,97.85915,0,49.10116,54.91807,100.0
PC / Computer,MSX,MSX,9,0.014,13766,22.136,0.065,46.74708,47.99963,97.85915,98.93366,0,49.10116,54.91807,100.0
PC / Computer,ApII,Apple II,6,0.01,13766,22.136,0.044,46.74708,47.99963,98.93366,99.65,0,49.10116,54.91807,100.0
PC / Computer,CD32,Amiga CD32,3,0.005,13766,22.136,0.022,47.99963,48.75116,97.85915,98.4561,0,49.10116,54.91807,100.0
PC / Computer,FMT,FM Towns,3,0.005,13766,22.136,0.022,47.99963,48.75116,98.4561,99.05305,0,49.10116,54.91807,100.0
PC / Computer,C128,Commodore 128,1,0.002,13766,22.136,0.007,47.99963,48.50065,99.05305,99.35152,0,49.10116,54.91807,100.0
PC / Computer,Aco,Acorn,1,0.002,13766,22.136,0.007,47.99963,48.50065,99.35152,99.65,0,49.10116,54.91807,100.0
PC / Computer,BBCM,BBC Micro,1,0.002,13766,22.136,0.007,48.50065,48.75116,99.05305,99.65,0,49.10116,54.91807,100.0
Xbox,XBL,Xbox Live Arcade,2119,3.407,7412,11.919,28.589,49.45116,63.80239,57.11807,77.98414,49.10116,100.0,54.91807,78.33414
Xbox,XOne,Xbox One,1962,3.155,7412,11.919,26.471,63.80239,77.09032,57.11807,77.98414,49.10116,100.0,54.91807,78.33414
Xbox,X360,Xbox 360,1730,2.782,7412,11.919,23.341,77.09032,88.807,57.11807,77.98414,49.10116,100.0,54.91807,78.33414
Xbox,XB,Xbox,981,1.577,7412,11.919,13.235,88.807,99.65,57.11807,69.90359,49.10116,100.0,54.91807,78.33414
Xbox,XS,Xbox Series X/S,620,0.997,7412,11.919,8.365,88.807,99.65,69.90359,77.98414,49.10116,100.0,54.91807,78.33414
Sega,GEN,Sega Genesis / Mega Drive,803,1.291,3080,4.953,26.071,49.45116,62.53871,80.53414,87.7145,49.10116,100.0,78.33414,88.0645
Sega,SAT,Sega Saturn,736,1.183,3080,4.953,23.896,62.53871,74.53428,80.53414,87.7145,49.10116,100.0,78.33414,88.0645
Sega,DC,Dreamcast,653,1.05,3080,4.953,21.201,74.53428,85.17709,80.53414,87.7145,49.10116,100.0,78.33414,88.0645
Sega,MS,Sega Master System,335,0.539,3080,4.953,10.877,85.17709,90.63703,80.53414,87.7145,49.10116,100.0,78.33414,88.0645
Sega,GG,Game Gear,332,0.534,3080,4.953,10.779,90.63703,96.04807,80.53414,87.7145,49.10116,100.0,78.33414,88.0645
Sega,SCD,Sega CD,218,0.351,3080,4.953,7.078,96.04807,99.65,80.53414,87.61703,49.10116,100.0,78.33414,88.0645
Sega,S32X,Sega 32X,3,0.005,3080,4.953,0.097,96.04807,99.65,87.61703,87.7145,49.10116,100.0,78.33414,88.0645
Other ecosystems,2600,Atari 2600,500,0.804,2362,3.798,21.169,49.45116,60.0775,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,PCE,PC Engine,458,0.736,2362,3.798,19.39,60.0775,69.81123,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,3DO,3DO,304,0.489,2362,3.798,12.87,69.81123,76.27205,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,WS,WonderSwan,199,0.32,2362,3.798,8.425,76.27205,80.50133,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,NG,Neo Geo,172,0.277,2362,3.798,7.282,80.50133,84.15679,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,Int,Intellivision,134,0.215,2362,3.798,5.673,84.15679,87.00465,90.2645,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,Lynx,Atari Lynx,89,0.143,2362,3.798,3.768,87.00465,90.44759,90.2645,92.9631,49.10116,100.0,88.0645,95.52656
Other ecosystems,5200,Atari 5200,73,0.117,2362,3.798,3.091,87.00465,90.44759,92.9631,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,AJ,Atari Jaguar,72,0.116,2362,3.798,3.048,90.44759,93.40171,90.2645,92.80888,49.10116,100.0,88.0645,95.52656
Other ecosystems,PCFX,PC-FX,67,0.108,2362,3.798,2.837,90.44759,93.40171,92.80888,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,7800,Atari 7800,59,0.095,2362,3.798,2.498,93.40171,95.82452,90.2645,92.80671,49.10116,100.0,88.0645,95.52656
Other ecosystems,GIZ,Gizmondo,55,0.088,2362,3.798,2.329,93.40171,95.82452,92.80671,95.17656,49.10116,100.0,88.0645,95.52656
Other ecosystems,Arc,Arcade,52,0.084,2362,3.798,2.202,95.82452,97.85436,90.2645,92.93884,49.10116,100.0,88.0645,95.52656
Other ecosystems,CV,ColecoVision,46,0.074,2362,3.798,1.948,97.85436,99.65,90.2645,92.93884,49.10116,100.0,88.0645,95.52656
