family,platform,game_platform_count,x0,x1,y0,y1
PC / Computer,PC (Microsoft Windows),105325,2.0,348.9234,2.0,498.0
PC / Computer,Mac,21858,348.9234,525.0976,2.0,204.6992
PC / Computer,Linux,13929,348.9234,525.0976,204.6992,333.8691
PC / Computer,DOS,3007,348.9234,420.2432,333.8691,402.7514
PC / Computer,Commodore C64/128/MAX,2346,348.9234,420.2432,402.7514,456.492
PC / Computer,Amiga,1812,348.9234,420.2432,456.492,498.0
PC / Computer,ZX Spectrum,1614,420.2432,479.2718,333.8691,378.54
PC / Computer,Amstrad CPC,1253,479.2718,525.0976,333.8691,378.54
PC / Computer,Atari ST/STE,1126,420.2432,460.6768,378.54,424.0367
PC / Computer,Apple II,912,460.6768,493.4258,378.54,424.0367
PC / Computer,MSX,882,493.4258,525.0976,378.54,424.0367
PC / Computer,Atari 8-bit,745,420.2432,450.3278,424.0367,464.4939
PC / Computer,PC-9800 Series,617,420.2432,450.3278,464.4939,498.0
PC / Computer,PC-8800 Series,375,450.3278,472.7035,424.0367,451.417
PC / Computer,BBC Microcomputer System,363,450.3278,472.7035,451.417,477.9211
PC / Computer,Sharp X68000,275,450.3278,472.7035,477.9211,498.0
PC / Computer,FM Towns,225,472.7035,492.8896,424.0367,442.2469
PC / Computer,Commodore VIC-20,185,492.8896,509.4871,424.0367,442.2469
PC / Computer,FM-7,174,509.4871,525.0976,424.0367,442.2469
PC / Computer,Sharp X1,166,472.7035,491.57,442.2469,456.6217
PC / Computer,Amiga CD32,151,491.57,508.7316,442.2469,456.6217
PC / Computer,TRS-80,144,508.7316,525.0976,442.2469,456.6217
PC / Computer,Commodore 16,140,472.7035,488.8521,456.6217,470.7854
PC / Computer,MSX2,135,472.7035,488.8521,470.7854,484.4433
PC / Computer,Acorn Electron,134,472.7035,488.8521,484.4433,498.0
PC / Computer,Sinclair ZX81,125,488.8521,502.4578,456.6217,471.6315
PC / Computer,Apple IIGS,114,502.4578,514.8662,456.6217,471.6315
PC / Computer,TRS-80 Color Computer,94,514.8662,525.0976,456.6217,471.6315
PC / Computer,Texas Instruments TI-99,94,488.8521,499.6948,471.6315,485.7951
PC / Computer,Commodore Plus/4,81,488.8521,499.6948,485.7951,498.0
PC / Computer,Dragon 32/64,79,499.6948,513.8274,471.6315,480.764
PC / Computer,NEC PC-6000 Series,63,513.8274,525.0976,471.6315,480.764
PC / Computer,Acorn Archimedes,61,499.6948,509.6474,480.764,490.7773
PC / Computer,Amstrad PCW,44,499.6948,509.6474,490.7773,498.0
PC / Computer,Commodore PET,37,509.6474,517.4783,480.764,488.4832
PC / Computer,Sharp MZ-2200,36,517.4783,525.0976,480.764,488.4832
PC / Computer,Commodore CDTV,17,509.6474,515.4841,488.4832,493.2416
PC / Computer,Tomy Tutor / Pyuta / Grandstand Tutor,17,509.6474,515.4841,493.2416,498.0
PC / Computer,Thomson MO5,15,515.4841,520.4626,488.4832,493.4057
PC / Computer,Tatung Einstein,14,515.4841,520.4626,493.4057,498.0
PC / Computer,Legacy Computer,13,520.4626,525.0976,488.4832,493.0654
PC / Computer,Sinclair QL,6,520.4626,523.5526,493.0654,496.2376
PC / Computer,PDP-11,3,523.5526,525.0976,493.0654,496.2376
PC / Computer,Amstrad GX4000,1,520.4626,521.3896,496.2376,498.0
PC / Computer,Call-A-Computer time-shared mainframe computer system,1,521.3896,522.3166,496.2376,498.0
PC / Computer,Exidy Sorcerer,1,522.3166,523.2436,496.2376,498.0
PC / Computer,Microcomputer,1,523.2436,524.1706,496.2376,498.0
PC / Computer,PLATO,1,524.1706,525.0976,496.2376,498.0
Mobile / Web,iOS,14449,529.0976,737.0335,2.0,113.6101
Mobile / Web,Android,13225,529.0976,646.8989,113.6101,293.9289
Mobile / Web,Web browser,8410,646.8989,737.0335,113.6101,263.4748
Mobile / Web,Legacy Mobile Device,999,646.8989,699.5873,263.4748,293.9289
Mobile / Web,Windows Phone,412,699.5873,721.3166,263.4748,293.9289
Mobile / Web,BlackBerry OS,83,721.3166,737.0335,263.4748,271.957
Mobile / Web,Amazon Fire TV,62,721.3166,729.5746,271.957,284.016
Mobile / Web,Windows Mobile,56,729.5746,737.0335,271.957,284.016
Mobile / Web,N-Gage,44,721.3166,728.4459,284.016,293.9289
