rank,family,platform,platform_full,recorded_sales_millions,share_of_all_recorded_sales_percent,family_recorded_sales_millions,family_share_of_all_recorded_sales_percent,sales_records,total_records,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
1,PlayStation,PS2,PlayStation 2,1027.76,15.56,3198.92,48.43,2126,3565,59.6,0,48.4251,0,32.1283,0,48.4251,0,100.0
3,PlayStation,PS3,PlayStation 3,839.7,12.71,3198.92,48.43,1348,1905,70.8,0,48.4251,32.1283,58.3778,0,48.4251,0,100.0
4,PlayStation,PS,PlayStation,546.25,8.27,3198.92,48.43,1130,2707,41.7,0,39.5039,58.3778,79.3102,0,48.4251,0,100.0
5,PlayStation,PS4,PlayStation 4,539.92,8.17,3198.92,48.43,908,2878,31.5,0,39.5039,79.3102,100.0,0,48.4251,0,100.0
9,PlayStation,PSP,PlayStation Portable,245.29,3.71,3198.92,48.43,1340,1807,74.2,39.5039,48.4251,58.3778,100.0,0,48.4251,0,100.0
6,Nintendo,Wii,Nintendo Wii,459.44,6.95,1454.68,22.02,1357,1676,81.0,48.4251,80.9585,0,21.378,48.4251,100.0,0,42.6969
7,Nintendo,DS,Nintendo DS,458.17,6.94,1454.68,22.02,2396,3288,72.9,48.4251,80.9585,21.378,42.6969,48.4251,100.0,0,42.6969
11,Nintendo,GBA,Game Boy Advance,224.48,3.4,1454.68,22.02,899,1659,54.2,80.9585,100.0,0,17.8461,48.4251,100.0,0,42.6969
13,Nintendo,GC,Nintendo GameCube,119.53,1.81,1454.68,22.02,528,663,79.6,80.9585,100.0,17.8461,27.3487,48.4251,100.0,0,42.6969
14,Nintendo,3DS,Nintendo 3DS,99.27,1.5,1454.68,22.02,562,1192,47.1,80.9585,90.7495,27.3487,42.6969,48.4251,100.0,0,42.6969
15,Nintendo,N64,Nintendo 64,93.79,1.42,1454.68,22.02,279,393,71.0,90.7495,100.0,27.3487,42.6969,48.4251,100.0,0,42.6969
2,Xbox,X360,Xbox 360,859.79,13.02,1360.8,20.6,1302,1735,75.0,48.4251,81.0115,42.6969,82.6383,48.4251,100.0,42.6969,82.6383
8,Xbox,XOne,Xbox One,268.96,4.07,1360.8,20.6,524,1963,26.7,81.0115,100.0,42.6969,64.1389,48.4251,100.0,42.6969,82.6383
10,Xbox,XB,Xbox,232.05,3.51,1360.8,20.6,836,982,85.1,81.0115,100.0,64.1389,82.6383,48.4251,100.0,42.6969,82.6383
16,Other Platforms,Other,Other platforms (24),422.52,6.4,422.52,6.4,1827,18322,10.0,48.4251,85.2654,82.6383,100.0,48.4251,85.2654,82.6383,100.0
12,PC,PC,PC,168.99,2.56,168.99,2.56,1560,12617,12.4,85.2654,100.0,82.6383,100.0,85.2654,100.0,82.6383,100.0
