platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
1,PS2,PlayStation 2,Sports,Sports,266.38,25.92,4.03,1027.76,15.56,2126,3565,59.6,0,17.5699,0,22.9509,0,41.285,0,37.6848,403.245
1,PS2,PlayStation 2,Action,Action,171.01,16.64,2.59,1027.76,15.56,2126,3565,59.6,0,17.5699,22.9509,37.6848,0,41.285,0,37.6848,258.8743
1,PS2,PlayStation 2,Racing,Racing,129.79,12.63,1.96,1027.76,15.56,2126,3565,59.6,17.5699,30.7242,0,14.9362,0,41.285,0,37.6848,196.4756
1,PS2,PlayStation 2,Shooter,Shooter,104.2,10.14,1.58,1027.76,15.56,2126,3565,59.6,30.7242,41.285,0,14.9362,0,41.285,0,37.6848,157.7375
1,PS2,PlayStation 2,Misc,Misc,87.56,8.52,1.33,1027.76,15.56,2126,3565,59.6,17.5699,27.8397,14.9362,27.8428,0,41.285,0,37.6848,132.548
1,PS2,PlayStation 2,Fighting,Fighting,66.77,6.5,1.01,1027.76,15.56,2126,3565,59.6,17.5699,27.8397,27.8428,37.6848,0,41.285,0,37.6848,101.0762
1,PS2,PlayStation 2,Platform,Platform,59.58,5.8,0.9,1027.76,15.56,2126,3565,59.6,27.8397,41.285,14.9362,21.6443,0,41.285,0,37.6848,90.192
1,PS2,PlayStation 2,Adventure,Adventure,44.32,4.31,0.67,1027.76,15.56,2126,3565,59.6,27.8397,34.8428,21.6443,31.2245,0,41.285,0,37.6848,67.0914
1,PS2,PlayStation 2,Role-Playing,Role-Playing,40.77,3.97,0.62,1027.76,15.56,2126,3565,59.6,34.8428,41.285,21.6443,31.2245,0,41.285,0,37.6848,61.7175
1,PS2,PlayStation 2,Simulation,Simulation,37.99,3.7,0.58,1027.76,15.56,2126,3565,59.6,27.8397,36.7415,31.2245,37.6848,0,41.285,0,37.6848,57.5091
1,PS2,PlayStation 2,Strategy,,13.34,1.3,0.2,1027.76,15.56,2126,3565,59.6,36.7415,41.285,31.2245,35.6691,0,41.285,0,37.6848,20.194
1,PS2,PlayStation 2,Puzzle,,5.33,0.52,0.08,1027.76,15.56,2126,3565,59.6,36.7415,40.7443,35.6691,37.6848,0,41.285,0,37.6848,8.0685
1,PS2,PlayStation 2,MMO,,0.32,0.03,0.0,1027.76,15.56,2126,3565,59.6,40.7443,41.285,35.6691,36.565,0,41.285,0,37.6848,0.4844
1,PS2,PlayStation 2,Education,,0.24,0.02,0.0,1027.76,15.56,2126,3565,59.6,40.7443,41.285,36.565,37.2369,0,41.285,0,37.6848,0.3633
1,PS2,PlayStation 2,Party,,0.08,0.01,0.0,1027.76,15.56,2126,3565,59.6,40.7443,41.0146,37.2369,37.6848,0,41.285,0,37.6848,0.1211
1,PS2,PlayStation 2,Visual Novel,,0.08,0.01,0.0,1027.76,15.56,2126,3565,59.6,41.0146,41.285,37.2369,37.6848,0,41.285,0,37.6848,0.1211
2,X360,Xbox 360,Shooter,Shooter,231.35,26.91,3.5,859.79,13.02,1302,1735,75.0,0,18.8829,37.6848,56.2316,0,41.285,37.6848,69.2107,350.2167
2,X360,Xbox 360,Action,Action,161.9,18.83,2.45,859.79,13.02,1302,1735,75.0,0,18.8829,56.2316,69.2107,0,41.285,37.6848,69.2107,245.0836
2,X360,Xbox 360,Sports,Sports,141.09,16.41,2.14,859.79,13.02,1302,1735,75.0,18.8829,34.1182,37.6848,51.7037,0,41.285,37.6848,69.2107,213.5815
2,X360,Xbox 360,Racing,Racing,66.37,7.72,1.0,859.79,13.02,1302,1735,75.0,34.1182,41.285,37.6848,51.7037,0,41.285,37.6848,69.2107,100.4706
2,X360,Xbox 360,Role-Playing,Role-Playing,65.1,7.57,0.99,859.79,13.02,1302,1735,75.0,18.8829,29.5046,51.7037,60.9817,0,41.285,37.6848,69.2107,98.5481
2,X360,Xbox 360,Misc,Misc,57.74,6.72,0.87,859.79,13.02,1302,1735,75.0,18.8829,29.5046,60.9817,69.2107,0,41.285,37.6848,69.2107,87.4066
2,X360,Xbox 360,Fighting,Fighting,37.47,4.36,0.57,859.79,13.02,1302,1735,75.0,29.5046,36.2789,51.7037,60.0769,0,41.285,37.6848,69.2107,56.7219
2,X360,Xbox 360,Adventure,,27.69,3.22,0.42,859.79,13.02,1302,1735,75.0,36.2789,41.285,51.7037,60.0769,0,41.285,37.6848,69.2107,41.917
