rank,platform,platform_full,recorded_sales_millions,share_of_top15_percent,sales_records,total_records,sales_coverage_percent,x0,x1,y0,y1
1,PS2,PlayStation 2,1027.76,16.62,2126,3565,59.6,0,44.1061,0,37.6848
2,X360,Xbox 360,859.79,13.9,1302,1735,75.0,0,44.1061,37.6848,69.2107
3,PS3,PlayStation 3,839.7,13.58,1348,1905,70.8,0,44.1061,69.2107,100.0
4,PS,PlayStation,546.25,8.83,1130,2707,41.7,44.1061,72.2159,0,31.4273
5,PS4,PlayStation 4,539.92,8.73,908,2878,31.5,72.2159,100.0,0,31.4273
6,Wii,Nintendo Wii,459.44,7.43,1357,1676,81.0,44.1061,72.0917,31.4273,57.9774
7,DS,Nintendo DS,458.17,7.41,2396,3288,72.9,72.0917,100.0,31.4273,57.9774
8,XOne,Xbox One,268.96,4.35,524,1963,26.7,44.1061,63.8969,57.9774,79.9558
9,PSP,PlayStation Portable,245.29,3.97,1340,1807,74.2,44.1061,63.8969,79.9558,100.0
10,XB,Xbox,232.05,3.75,836,982,85.1,63.8969,82.2478,57.9774,78.4276
11,GBA,Game Boy Advance,224.48,3.63,899,1659,54.2,82.2478,100.0,57.9774,78.4276
12,PC,PC,168.99,2.73,1560,12617,12.4,63.8969,76.5658,78.4276,100.0
13,GC,Nintendo GameCube,119.53,1.93,528,663,79.6,76.5658,92.9688,78.4276,90.2126
14,3DS,Nintendo 3DS,99.27,1.61,562,1192,47.1,76.5658,92.9688,90.2126,100.0
15,N64,Nintendo 64,93.79,1.52,279,393,71.0,92.9688,100.0,78.4276,100.0
