perspective,period,games_with_perspective,denominator_games,share_pct,change_pp
Side view,1980-1984,1002,2294,43.7,-17.4
Side view,2020-2024,6353,24142,26.3,-17.4
First person,1980-1984,266,2294,11.6,16.2
First person,2020-2024,6714,24142,27.8,16.2
Bird view / Isometric,1980-1984,916,2294,39.9,-9.1
Bird view / Isometric,2020-2024,7445,24142,30.8,-9.1
Third person,1980-1984,251,2294,10.9,8.8
Third person,2020-2024,4760,24142,19.7,8.8
Virtual Reality,1980-1984,0,2294,0,5
Virtual Reality,2020-2024,1212,24142,5,5
