perspective,period,period_order,games_with_perspective,denominator_games,share_pct,change_pp,direction,label_y,endpoint_label
Side view,1980–84,0,1010,2312,43.7,-17.3,Decreased,43.7,Side view  43.7%
First person,1980–84,0,267,2312,11.5,16.4,Increased,12.7,First person  11.5%
Bird view / Isometric,1980–84,0,924,2312,40.0,-9.2,Decreased,40.0,Bird view / Isometric  40.0%
Third person,1980–84,0,252,2312,10.9,8.7,Increased,9.7,Third person  10.9%
Virtual Reality,1980–84,0,0,2312,0.0,5.0,Increased,0.0,Virtual Reality  0.0%
Side view,2020–24,1,6507,24686,26.4,-17.3,Decreased,25.4,26.4%  Side view
First person,2020–24,1,6889,24686,27.9,16.4,Increased,28.9,27.9%  First person
Bird view / Isometric,2020–24,1,7601,24686,30.8,-9.2,Decreased,30.8,30.8%  Bird view / Isometric
Third person,2020–24,1,4833,24686,19.6,8.7,Increased,19.6,19.6%  Third person
Virtual Reality,2020–24,1,1240,24686,5.0,5.0,Increased,5.0,5.0%  Virtual Reality
