row_type,flow_id,step,x,y0,y1,node_x0,node_x1,node_y0,node_y1,label_x,label_y,publisher,genre,game_count,publisher_visible_total,publisher_full_total,publisher_top10_coverage_percent,publisher_visible_share_percent,genre_visible_total
flow,1,0,0.08,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,1,0.108,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,2,0.136,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,3,0.164,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,4,0.192,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,5,0.22,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,6,0.248,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,7,0.276,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,8,0.304,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,9,0.332,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,10,0.36,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,11,0.388,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,12,0.416,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,13,0.444,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,14,0.472,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,15,0.5,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,16,0.528,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,17,0.556,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,18,0.584,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,19,0.612,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,20,0.64,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,21,0.668,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,22,0.696,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,23,0.724,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,24,0.752,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,25,0.78,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,26,0.808,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,27,0.836,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,28,0.864,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,29,0.892,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,1,30,0.92,0.0,195.0,,,,,,,Sega,Misc,195,1311,1486,88.2,14.87,1412
flow,2,0,0.08,195.0,430.0,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,1,0.108,199.144,434.144,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,2,0.136,211.1991,446.1991,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,3,0.164,230.6004,465.6004,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,4,0.192,256.7828,491.7828,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
