publisher,publisher_label,publisher_order,publisher_total_titles,publisher_width_pct,genre,genre_order,distinct_title_count,genre_share_pct,x0,x1,x_mid,y0,y1,y_mid
Sega,Sega,1,1297,22.0541,Sports,1,235,18.12,0.0,22.0541,11.027,0.0,18.1187,9.0594
Sega,Sega,1,1297,22.0541,Action,2,170,13.11,0.0,22.0541,11.027,18.1187,31.2259,24.6723
Sega,Sega,1,1297,22.0541,Shooter,3,140,10.79,0.0,22.0541,11.027,31.2259,42.02,36.623
Sega,Sega,1,1297,22.0541,Platform,4,170,13.11,0.0,22.0541,11.027,42.02,55.1272,48.5736
Sega,Sega,1,1297,22.0541,Puzzle,5,64,4.93,0.0,22.0541,11.027,55.1272,60.0617,57.5944
Sega,Sega,1,1297,22.0541,Role-Playing,6,139,10.72,0.0,22.0541,11.027,60.0617,70.7787,65.4202
Sega,Sega,1,1297,22.0541,Other,7,379,29.22,0.0,22.0541,11.027,70.7787,100.0,85.3894
Konami,Konami,2,1039,17.6671,Sports,1,282,27.14,22.0541,39.7211,30.8876,0.0,27.1415,13.5707
Konami,Konami,2,1039,17.6671,Action,2,138,13.28,22.0541,39.7211,30.8876,27.1415,40.4235,33.7825
Konami,Konami,2,1039,17.6671,Shooter,3,87,8.37,22.0541,39.7211,30.8876,40.4235,48.7969,44.6102
Konami,Konami,2,1039,17.6671,Platform,4,82,7.89,22.0541,39.7211,30.8876,48.7969,56.6891,52.743
Konami,Konami,2,1039,17.6671,Puzzle,5,31,2.98,22.0541,39.7211,30.8876,56.6891,59.6728,58.1809
Konami,Konami,2,1039,17.6671,Role-Playing,6,76,7.31,22.0541,39.7211,30.8876,59.6728,66.9875,63.3301
Konami,Konami,2,1039,17.6671,Other,7,343,33.01,22.0541,39.7211,30.8876,66.9875,100.0,83.4937
Nintendo,Nintendo,3,1002,17.0379,Sports,1,88,8.78,39.7211,56.7591,48.2401,0.0,8.7824,4.3912
Nintendo,Nintendo,3,1002,17.0379,Action,2,92,9.18,39.7211,56.7591,48.2401,8.7824,17.9641,13.3733
Nintendo,Nintendo,3,1002,17.0379,Shooter,3,48,4.79,39.7211,56.7591,48.2401,17.9641,22.7545,20.3593
Nintendo,Nintendo,3,1002,17.0379,Platform,4,153,15.27,39.7211,56.7591,48.2401,22.7545,38.024,30.3892
Nintendo,Nintendo,3,1002,17.0379,Puzzle,5,158,15.77,39.7211,56.7591,48.2401,38.024,53.7924,45.9082
Nintendo,Nintendo,3,1002,17.0379,Role-Playing,6,144,14.37,39.7211,56.7591,48.2401,53.7924,68.1637,60.978
Nintendo,Nintendo,3,1002,17.0379,Other,7,319,31.84,39.7211,56.7591,48.2401,68.1637,100.0,84.0818
Microsoft,Microsoft,4,934,15.8817,Sports,1,47,5.03,56.7591,72.6407,64.6999,0.0,5.0321,2.5161
Microsoft,Microsoft,4,934,15.8817,Action,2,188,20.13,56.7591,72.6407,64.6999,5.0321,25.1606,15.0964
Microsoft,Microsoft,4,934,15.8817,Shooter,3,186,19.91,56.7591,72.6407,64.6999,25.1606,45.0749,35.1178
Microsoft,Microsoft,4,934,15.8817,Platform,4,90,9.64,56.7591,72.6407,64.6999,45.0749,54.7109,49.8929
Microsoft,Microsoft,4,934,15.8817,Puzzle,5,182,19.49,56.7591,72.6407,64.6999,54.7109,74.197,64.454
Microsoft,Microsoft,4,934,15.8817,Role-Playing,6,53,5.67,56.7591,72.6407,64.6999,74.197,79.8715,77.0343
Microsoft,Microsoft,4,934,15.8817,Other,7,188,20.13,56.7591,72.6407,64.6999,79.8715,100.0,89.9358
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Sports,1,125,14.33,72.6407,87.4681,80.0544,0.0,14.3349,7.1674
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Action,2,122,13.99,72.6407,87.4681,80.0544,14.3349,28.3257,21.3303
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Shooter,3,103,11.81,72.6407,87.4681,80.0544,28.3257,40.1376,34.2317
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Platform,4,85,9.75,72.6407,87.4681,80.0544,40.1376,49.8853,45.0115
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Puzzle,5,62,7.11,72.6407,87.4681,80.0544,49.8853,56.9954,53.4404
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Role-Playing,6,76,8.72,72.6407,87.4681,80.0544,56.9954,65.711,61.3532
Sony Computer Entertainment,Sony Computer Ent.,5,872,14.8274,Other,7,299,34.29,72.6407,87.4681,80.0544,65.711,100.0,82.8555
Ubisoft,Ubisoft,6,737,12.5319,Sports,1,67,9.09,87.4681,100.0,93.7341,0.0,9.0909,4.5455
Ubisoft,Ubisoft,6,737,12.5319,Action,2,107,14.52,87.4681,100.0,93.7341,9.0909,23.6092,16.3501
Ubisoft,Ubisoft,6,737,12.5319,Shooter,3,83,11.26,87.4681,100.0,93.7341,23.6092,34.8711,29.2402
Ubisoft,Ubisoft,6,737,12.5319,Platform,4,51,6.92,87.4681,100.0,93.7341,34.8711,41.791,38.3311
Ubisoft,Ubisoft,6,737,12.5319,Puzzle,5,33,4.48,87.4681,100.0,93.7341,41.791,46.2687,44.0299
Ubisoft,Ubisoft,6,737,12.5319,Role-Playing,6,28,3.8,87.4681,100.0,93.7341,46.2687,50.0678,48.1682
Ubisoft,Ubisoft,6,737,12.5319,Other,7,368,49.93,87.4681,100.0,93.7341,50.0678,100.0,75.0339
