publisher,publisher_label,publisher_order,publisher_titles_selected_genres,publisher_width_pct,genre,genre_order,distinct_title_count,genre_share_pct,x0,x1,x_mid,y0,y1,y_mid
Sega,Sega,1,918,22.7397,Sports,1,235,25.6,0.0,22.7397,11.3698,0.0,25.5991,12.7996
Sega,Sega,1,918,22.7397,Action,2,170,18.52,0.0,22.7397,11.3698,25.5991,44.1176,34.8584
Sega,Sega,1,918,22.7397,Shooter,3,140,15.25,0.0,22.7397,11.3698,44.1176,59.3682,51.7429
Sega,Sega,1,918,22.7397,Platform,4,170,18.52,0.0,22.7397,11.3698,59.3682,77.8867,68.6275
Sega,Sega,1,918,22.7397,Role-Playing,5,139,15.14,0.0,22.7397,11.3698,77.8867,93.0283,85.4575
Sega,Sega,1,918,22.7397,Puzzle,6,64,6.97,0.0,22.7397,11.3698,93.0283,100.0,96.5142
Microsoft,Microsoft,2,746,18.4791,Sports,1,47,6.3,22.7397,41.2187,31.9792,0.0,6.3003,3.1501
Microsoft,Microsoft,2,746,18.4791,Action,2,188,25.2,22.7397,41.2187,31.9792,6.3003,31.5013,18.9008
Microsoft,Microsoft,2,746,18.4791,Shooter,3,186,24.93,22.7397,41.2187,31.9792,31.5013,56.4343,43.9678
Microsoft,Microsoft,2,746,18.4791,Platform,4,90,12.06,22.7397,41.2187,31.9792,56.4343,68.4987,62.4665
Microsoft,Microsoft,2,746,18.4791,Role-Playing,5,53,7.1,22.7397,41.2187,31.9792,68.4987,75.6032,72.0509
Microsoft,Microsoft,2,746,18.4791,Puzzle,6,182,24.4,22.7397,41.2187,31.9792,75.6032,100.0,87.8016
Konami,Konami,3,696,17.2405,Sports,1,282,40.52,41.2187,58.4593,49.839,0.0,40.5172,20.2586
Konami,Konami,3,696,17.2405,Action,2,138,19.83,41.2187,58.4593,49.839,40.5172,60.3448,50.431
Konami,Konami,3,696,17.2405,Shooter,3,87,12.5,41.2187,58.4593,49.839,60.3448,72.8448,66.5948
Konami,Konami,3,696,17.2405,Platform,4,82,11.78,41.2187,58.4593,49.839,72.8448,84.6264,78.7356
Konami,Konami,3,696,17.2405,Role-Playing,5,76,10.92,41.2187,58.4593,49.839,84.6264,95.546,90.0862
Konami,Konami,3,696,17.2405,Puzzle,6,31,4.45,41.2187,58.4593,49.839,95.546,100.0,97.773
Nintendo,Nintendo,4,683,16.9185,Sports,1,88,12.88,58.4593,75.3778,66.9185,0.0,12.8843,6.4422
Nintendo,Nintendo,4,683,16.9185,Action,2,92,13.47,58.4593,75.3778,66.9185,12.8843,26.3543,19.6193
Nintendo,Nintendo,4,683,16.9185,Shooter,3,48,7.03,58.4593,75.3778,66.9185,26.3543,33.3821,29.8682
Nintendo,Nintendo,4,683,16.9185,Platform,4,153,22.4,58.4593,75.3778,66.9185,33.3821,55.7833,44.5827
Nintendo,Nintendo,4,683,16.9185,Role-Playing,5,144,21.08,58.4593,75.3778,66.9185,55.7833,76.8668,66.325
Nintendo,Nintendo,4,683,16.9185,Puzzle,6,158,23.13,58.4593,75.3778,66.9185,76.8668,100.0,88.4334
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Sports,1,125,21.82,75.3778,89.5715,82.4746,0.0,21.815,10.9075
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Action,2,122,21.29,75.3778,89.5715,82.4746,21.815,43.1065,32.4607
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Shooter,3,103,17.98,75.3778,89.5715,82.4746,43.1065,61.082,52.0942
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Platform,4,85,14.83,75.3778,89.5715,82.4746,61.082,75.9162,68.4991
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Role-Playing,5,76,13.26,75.3778,89.5715,82.4746,75.9162,89.1798,82.548
Sony Computer Entertainment,Sony Computer Ent.,5,573,14.1937,Puzzle,6,62,10.82,75.3778,89.5715,82.4746,89.1798,100.0,94.5899
Electronic Arts,Electronic Arts,6,421,10.4285,Sports,1,103,24.47,89.5715,100.0,94.7857,0.0,24.4656,12.2328
Electronic Arts,Electronic Arts,6,421,10.4285,Action,2,70,16.63,89.5715,100.0,94.7857,24.4656,41.0926,32.7791
Electronic Arts,Electronic Arts,6,421,10.4285,Shooter,3,125,29.69,89.5715,100.0,94.7857,41.0926,70.7838,55.9382
Electronic Arts,Electronic Arts,6,421,10.4285,Platform,4,28,6.65,89.5715,100.0,94.7857,70.7838,77.4347,74.1093
Electronic Arts,Electronic Arts,6,421,10.4285,Role-Playing,5,74,17.58,89.5715,100.0,94.7857,77.4347,95.0119,86.2233
Electronic Arts,Electronic Arts,6,421,10.4285,Puzzle,6,21,4.99,89.5715,100.0,94.7857,95.0119,100.0,97.5059
