publisher,publisher_rank,publisher_total_titles,publisher_total_associations,ecosystem,ecosystem_total_associations,flow_count,publisher_share_pct,ecosystem_share_pct,x,x2,y0,y1,node_x0,node_x1,node_y0,node_y1,source_x0,source_x1,target_x0,target_x1,source_node_y0,source_node_y1,target_node_y0,target_node_y1,source_mid_y,target_mid_y,flow_mid_y0,flow_mid_y1,flow_mid_x0,flow_mid_x1,publisher_label,ecosystem_label,publisher_total_label,ecosystem_total_label,publisher_color
Sega,2,1486,1972,Nintendo,2284,188,9.53,8.23,0,1,6,7.1915,0,1,6,7.266,8,20,80,92,6,18.4983,6,21.3805,12.2492,13.6902,6.5957,6.633,44,56,Sega,Nintendo,"1,972","2,284",#4C78A8
Sega,2,1486,1972,PlayStation,2187,309,15.67,14.13,0,1,7.1915,9.1499,0,1,25.3805,27.4613,8,20,80,92,6,18.4983,25.3805,40.1077,12.2492,32.7441,8.1707,26.4209,44,56,Sega,PlayStation,"1,972","2,187",#4C78A8
Sega,2,1486,1972,Xbox,641,125,6.34,19.5,0,1,9.1499,9.9422,0,1,44.1077,44.9495,8,20,80,92,6,18.4983,44.1077,48.4242,12.2492,46.266,9.5461,44.5286,44,56,Sega,Xbox,"1,972",641,#4C78A8
Sega,2,1486,1972,Computer,1072,221,11.21,20.62,0,1,9.9422,11.3428,0,1,52.4242,53.9125,8,20,80,92,6,18.4983,52.4242,59.6431,12.2492,56.0337,10.6425,53.1684,44,56,Sega,Computer,"1,972","1,072",#4C78A8
Sega,2,1486,1972,Sega,851,685,34.74,80.49,0,1,11.3428,15.6843,0,1,63.6431,68.2559,8,20,80,92,6,18.4983,63.6431,69.3737,12.2492,66.5084,13.5136,65.9495,44,56,Sega,Sega,"1,972",851,#4C78A8
Sega,2,1486,1972,Other Platforms,3063,444,22.52,14.5,0,1,15.6843,18.4983,0,1,73.3737,76.3636,8,20,80,92,6,18.4983,73.3737,94.0,12.2492,83.6869,17.0913,74.8687,44,56,Sega,Other Platforms,"1,972","3,063",#4C78A8
Microsoft,3,1268,1272,Xbox,641,41,3.22,6.4,0,1,22.4983,22.7582,0,1,44.9495,45.2256,8,20,80,92,22.4983,30.5601,44.1077,48.4242,26.5292,46.266,22.6283,45.0876,44,56,Microsoft,Xbox,"1,272",641,#F58518
Microsoft,3,1268,1272,Computer,1072,54,4.25,5.04,0,1,22.7582,23.1004,0,1,53.9125,54.2761,8,20,80,92,22.4983,30.5601,52.4242,59.6431,26.5292,56.0337,22.9293,54.0943,44,56,Microsoft,Computer,"1,272","1,072",#F58518
Microsoft,3,1268,1272,Other Platforms,3063,1177,92.53,38.43,0,1,23.1004,30.5601,0,1,76.3636,84.2896,8,20,80,92,22.4983,30.5601,73.3737,94.0,26.5292,83.6869,26.8302,80.3266,44,56,Microsoft,Other Platforms,"1,272","3,063",#F58518
Nintendo,4,1217,1343,Nintendo,2284,904,67.31,39.58,0,1,34.5601,40.2896,0,1,7.266,13.3535,8,20,80,92,34.5601,43.0719,6,21.3805,38.816,13.6902,37.4248,10.3098,44,56,Nintendo,Nintendo,"1,343","2,284",#E45756
Nintendo,4,1217,1343,Computer,1072,1,0.07,0.09,0,1,40.2896,40.2959,0,1,54.2761,54.2828,8,20,80,92,34.5601,43.0719,52.4242,59.6431,38.816,56.0337,40.2927,54.2794,44,56,Nintendo,Computer,"1,343","1,072",#E45756
Nintendo,4,1217,1343,Other Platforms,3063,438,32.61,14.3,0,1,40.2959,43.0719,0,1,84.2896,87.2391,8,20,80,92,34.5601,43.0719,73.3737,94.0,38.816,83.6869,41.6839,85.7643,44,56,Nintendo,Other Platforms,"1,343","3,063",#E45756
Konami,5,1172,1441,Nintendo,2284,568,39.42,24.87,0,1,47.0719,50.6718,0,1,13.3535,17.1785,8,20,80,92,47.0719,56.2048,6,21.3805,51.6383,13.6902,48.8718,15.266,44,56,Konami,Nintendo,"1,441","2,284",#72B7B2
Konami,5,1172,1441,PlayStation,2187,523,36.29,23.91,0,1,50.6718,53.9865,0,1,27.4613,30.9832,8,20,80,92,47.0719,56.2048,25.3805,40.1077,51.6383,32.7441,52.3291,29.2223,44,56,Konami,PlayStation,"1,441","2,187",#72B7B2
Konami,5,1172,1441,Xbox,641,79,5.48,12.32,0,1,53.9865,54.4872,0,1,45.2256,45.7576,8,20,80,92,47.0719,56.2048,44.1077,48.4242,51.6383,46.266,54.2369,45.4916,44,56,Konami,Xbox,"1,441",641,#72B7B2
