year,publisher_family,distinct_titles,share_selected_publishers_pct,publisher_order
1980,Atari,3,100.0,1
1980,Sega,0,0.0,7
1980,Nintendo,0,0.0,5
1980,Sony,0,0.0,4
1980,Konami,0,0.0,6
1980,Electronic Arts,0,0.0,3
1980,Ubisoft,0,0.0,2
1981,Atari,6,66.67,1
1981,Sega,0,0.0,7
1981,Nintendo,1,11.11,5
1981,Sony,0,0.0,4
1981,Konami,2,22.22,6
1981,Electronic Arts,0,0.0,3
1981,Ubisoft,0,0.0,2
1982,Atari,24,88.89,1
1982,Sega,2,7.41,7
1982,Nintendo,0,0.0,5
1982,Sony,0,0.0,4
1982,Konami,1,3.7,6
1982,Electronic Arts,0,0.0,3
1982,Ubisoft,0,0.0,2
1983,Atari,31,72.09,1
1983,Sega,8,18.6,7
1983,Nintendo,3,6.98,5
1983,Sony,0,0.0,4
1983,Konami,1,2.33,6
1983,Electronic Arts,0,0.0,3
1983,Ubisoft,0,0.0,2
1984,Atari,11,68.75,1
1984,Sega,2,12.5,7
1984,Nintendo,2,12.5,5
1984,Sony,0,0.0,4
1984,Konami,0,0.0,6
1984,Electronic Arts,1,6.25,3
1984,Ubisoft,0,0.0,2
1985,Atari,0,0.0,1
1985,Sega,4,16.67,7
1985,Nintendo,18,75.0,5
1985,Sony,0,0.0,4
1985,Konami,1,4.17,6
1985,Electronic Arts,1,4.17,3
1985,Ubisoft,0,0.0,2
1986,Atari,4,7.41,1
1986,Sega,25,46.3,7
1986,Nintendo,15,27.78,5
1986,Sony,0,0.0,4
1986,Konami,6,11.11,6
1986,Electronic Arts,4,7.41,3
1986,Ubisoft,0,0.0,2
1987,Atari,11,16.18,1
1987,Sega,31,45.59,7
1987,Nintendo,15,22.06,5
1987,Sony,0,0.0,4
1987,Konami,11,16.18,6
1987,Electronic Arts,0,0.0,3
1987,Ubisoft,0,0.0,2
1988,Atari,14,16.09,1
1988,Sega,46,52.87,7
1988,Nintendo,15,17.24,5
1988,Sony,0,0.0,4
1988,Konami,8,9.2,6
1988,Electronic Arts,4,4.6,3
1988,Ubisoft,0,0.0,2
1989,Atari,14,16.67,1
1989,Sega,40,47.62,7
1989,Nintendo,14,16.67,5
1989,Sony,1,1.19,4
1989,Konami,8,9.52,6
1989,Electronic Arts,5,5.95,3
1989,Ubisoft,2,2.38,2
1990,Atari,23,23.23,1
1990,Sega,34,34.34,7
1990,Nintendo,19,19.19,5
1990,Sony,1,1.01,4
