year,publisher,publisher_rank,publisher_total_distinct_titles,distinct_titles,selected_publishers_total_titles,share_selected_publishers_pct
1980,Sega,1,1486,0,0,0.0
1980,Microsoft,2,1268,0,0,0.0
1980,Nintendo,3,1217,0,0,0.0
1980,Konami,4,1172,0,0,0.0
1980,Sony Computer Entertainment,5,1093,0,0,0.0
1980,Ubisoft,6,862,0,0,0.0
1980,Electronic Arts,7,850,0,0,0.0
1981,Sega,1,1486,0,4,0.0
1981,Microsoft,2,1268,1,4,25.0
1981,Nintendo,3,1217,1,4,25.0
1981,Konami,4,1172,2,4,50.0
1981,Sony Computer Entertainment,5,1093,0,4,0.0
1981,Ubisoft,6,862,0,4,0.0
1981,Electronic Arts,7,850,0,4,0.0
1982,Sega,1,1486,2,5,40.0
1982,Microsoft,2,1268,2,5,40.0
1982,Nintendo,3,1217,0,5,0.0
1982,Konami,4,1172,1,5,20.0
1982,Sony Computer Entertainment,5,1093,0,5,0.0
1982,Ubisoft,6,862,0,5,0.0
1982,Electronic Arts,7,850,0,5,0.0
1983,Sega,1,1486,8,12,66.67
1983,Microsoft,2,1268,0,12,0.0
1983,Nintendo,3,1217,3,12,25.0
1983,Konami,4,1172,1,12,8.33
1983,Sony Computer Entertainment,5,1093,0,12,0.0
1983,Ubisoft,6,862,0,12,0.0
1983,Electronic Arts,7,850,0,12,0.0
1984,Sega,1,1486,1,4,25.0
1984,Microsoft,2,1268,0,4,0.0
1984,Nintendo,3,1217,2,4,50.0
1984,Konami,4,1172,0,4,0.0
1984,Sony Computer Entertainment,5,1093,0,4,0.0
1984,Ubisoft,6,862,0,4,0.0
1984,Electronic Arts,7,850,1,4,25.0
1985,Sega,1,1486,4,24,16.67
1985,Microsoft,2,1268,0,24,0.0
1985,Nintendo,3,1217,18,24,75.0
1985,Konami,4,1172,1,24,4.17
1985,Sony Computer Entertainment,5,1093,0,24,0.0
1985,Ubisoft,6,862,0,24,0.0
1985,Electronic Arts,7,850,1,24,4.17
1986,Sega,1,1486,25,50,50.0
1986,Microsoft,2,1268,0,50,0.0
1986,Nintendo,3,1217,15,50,30.0
1986,Konami,4,1172,6,50,12.0
1986,Sony Computer Entertainment,5,1093,0,50,0.0
1986,Ubisoft,6,862,0,50,0.0
1986,Electronic Arts,7,850,4,50,8.0
1987,Sega,1,1486,31,57,54.39
1987,Microsoft,2,1268,0,57,0.0
1987,Nintendo,3,1217,15,57,26.32
1987,Konami,4,1172,11,57,19.3
1987,Sony Computer Entertainment,5,1093,0,57,0.0
1987,Ubisoft,6,862,0,57,0.0
1987,Electronic Arts,7,850,0,57,0.0
1988,Sega,1,1486,46,73,63.01
1988,Microsoft,2,1268,0,73,0.0
1988,Nintendo,3,1217,15,73,20.55
1988,Konami,4,1172,8,73,10.96
1988,Sony Computer Entertainment,5,1093,0,73,0.0
1988,Ubisoft,6,862,0,73,0.0
1988,Electronic Arts,7,850,4,73,5.48
1989,Sega,1,1486,40,69,57.97
1989,Microsoft,2,1268,0,69,0.0
1989,Nintendo,3,1217,14,69,20.29
1989,Konami,4,1172,8,69,11.59
1989,Sony Computer Entertainment,5,1093,0,69,0.0
1989,Ubisoft,6,862,2,69,2.9
1989,Electronic Arts,7,850,5,69,7.25
1990,Sega,1,1486,34,76,44.74
1990,Microsoft,2,1268,1,76,1.32
1990,Nintendo,3,1217,19,76,25.0
1990,Konami,4,1172,10,76,13.16
1990,Sony Computer Entertainment,5,1093,0,76,0.0
1990,Ubisoft,6,862,2,76,2.63
1990,Electronic Arts,7,850,10,76,13.16
1991,Sega,1,1486,64,115,55.65
1991,Microsoft,2,1268,0,115,0.0
1991,Nintendo,3,1217,16,115,13.91
1991,Konami,4,1172,17,115,14.78
1991,Sony Computer Entertainment,5,1093,0,115,0.0
1991,Ubisoft,6,862,2,115,1.74
1991,Electronic Arts,7,850,16,115,13.91
1992,Sega,1,1486,60,127,47.24
1992,Microsoft,2,1268,0,127,0.0
1992,Nintendo,3,1217,20,127,15.75
1992,Konami,4,1172,27,127,21.26
1992,Sony Computer Entertainment,5,1093,0,127,0.0
1992,Ubisoft,6,862,1,127,0.79
1992,Electronic Arts,7,850,19,127,14.96
1993,Sega,1,1486,89,160,55.62
1993,Microsoft,2,1268,1,160,0.62
1993,Nintendo,3,1217,15,160,9.38
1993,Konami,4,1172,22,160,13.75
