era_order,era_start,era_end,era,series,release_count,rank,total_distinct_titles,first_release_year,last_release_year,span_years,active_eras
1,1985,1989,1985–1989,Tetris,13,1,67,1985,2020,35,8
1,1985,1989,1985–1989,Super Mario,7,2,88,1985,2024,39,8
1,1985,1989,1985–1989,Castlevania,5,3,46,1986,2024,38,8
1,1985,1989,1985–1989,Dragon Quest,3,4,45,1986,2024,38,8
1,1985,1989,1985–1989,Mega Man,3,5,44,1987,2019,32,7
1,1985,1989,1985–1989,Final Fantasy,2,6,84,1987,2024,37,8
1,1985,1989,1985–1989,Bomberman,1,7,65,1985,2022,37,8
1,1985,1989,1985–1989,Sonic the Hedgehog,0,,108,1991,2024,33,7
2,1990,1994,1990–1994,Super Mario,18,1,88,1985,2024,39,8
2,1990,1994,1990–1994,Sonic the Hedgehog,15,2,108,1991,2024,33,7
2,1990,1994,1990–1994,Tetris,14,3,67,1985,2020,35,8
2,1990,1994,1990–1994,Bomberman,12,4,65,1985,2022,37,8
2,1990,1994,1990–1994,Mega Man,12,5,44,1987,2019,32,7
2,1990,1994,1990–1994,Castlevania,7,6,46,1986,2024,38,8
2,1990,1994,1990–1994,Final Fantasy,5,7,84,1987,2024,37,8
2,1990,1994,1990–1994,Dragon Quest,5,8,45,1986,2024,38,8
3,1995,1999,1995–1999,Super Mario,22,1,88,1985,2024,39,8
3,1995,1999,1995–1999,Sonic the Hedgehog,14,2,108,1991,2024,33,7
3,1995,1999,1995–1999,Tetris,13,3,67,1985,2020,35,8
3,1995,1999,1995–1999,Bomberman,13,4,65,1985,2022,37,8
3,1995,1999,1995–1999,Mega Man,12,5,44,1987,2019,32,7
3,1995,1999,1995–1999,Castlevania,8,6,46,1986,2024,38,8
3,1995,1999,1995–1999,Final Fantasy,4,7,84,1987,2024,37,8
3,1995,1999,1995–1999,Dragon Quest,4,8,45,1986,2024,38,8
4,2000,2004,2000–2004,Sonic the Hedgehog,30,1,108,1991,2024,33,7
4,2000,2004,2000–2004,Super Mario,15,2,88,1985,2024,39,8
4,2000,2004,2000–2004,Final Fantasy,13,3,84,1987,2024,37,8
4,2000,2004,2000–2004,Bomberman,13,4,65,1985,2022,37,8
4,2000,2004,2000–2004,Tetris,7,5,67,1985,2020,35,8
4,2000,2004,2000–2004,Castlevania,7,6,46,1986,2024,38,8
4,2000,2004,2000–2004,Dragon Quest,7,7,45,1986,2024,38,8
4,2000,2004,2000–2004,Mega Man,4,8,44,1987,2019,32,7
5,2005,2009,2005–2009,Sonic the Hedgehog,22,1,108,1991,2024,33,7
5,2005,2009,2005–2009,Bomberman,18,2,65,1985,2022,37,8
5,2005,2009,2005–2009,Final Fantasy,15,3,84,1987,2024,37,8
5,2005,2009,2005–2009,Tetris,12,4,67,1985,2020,35,8
5,2005,2009,2005–2009,Super Mario,11,5,88,1985,2024,39,8
5,2005,2009,2005–2009,Castlevania,10,6,46,1986,2024,38,8
5,2005,2009,2005–2009,Dragon Quest,8,7,45,1986,2024,38,8
5,2005,2009,2005–2009,Mega Man,6,8,44,1987,2019,32,7
6,2010,2014,2010–2014,Final Fantasy,20,1,84,1987,2024,37,8
6,2010,2014,2010–2014,Sonic the Hedgehog,14,2,108,1991,2024,33,7
6,2010,2014,2010–2014,Super Mario,8,3,88,1985,2024,39,8
6,2010,2014,2010–2014,Bomberman,5,4,65,1985,2022,37,8
6,2010,2014,2010–2014,Castlevania,5,5,46,1986,2024,38,8
6,2010,2014,2010–2014,Mega Man,5,6,44,1987,2019,32,7
6,2010,2014,2010–2014,Tetris,4,7,67,1985,2020,35,8
6,2010,2014,2010–2014,Dragon Quest,4,8,45,1986,2024,38,8
7,2015,2019,2015–2019,Final Fantasy,15,1,84,1987,2024,37,8
7,2015,2019,2015–2019,Dragon Quest,9,2,45,1986,2024,38,8
7,2015,2019,2015–2019,Sonic the Hedgehog,4,3,108,1991,2024,33,7
7,2015,2019,2015–2019,Super Mario,3,4,88,1985,2024,39,8
7,2015,2019,2015–2019,Tetris,3,5,67,1985,2020,35,8
7,2015,2019,2015–2019,Castlevania,3,6,46,1986,2024,38,8
7,2015,2019,2015–2019,Bomberman,2,7,65,1985,2022,37,8
7,2015,2019,2015–2019,Mega Man,2,8,44,1987,2019,32,7
8,2020,2024,2020–2024,Final Fantasy,10,1,84,1987,2024,37,8
8,2020,2024,2020–2024,Sonic the Hedgehog,9,2,108,1991,2024,33,7
8,2020,2024,2020–2024,Dragon Quest,5,3,45,1986,2024,38,8
8,2020,2024,2020–2024,Super Mario,4,4,88,1985,2024,39,8
8,2020,2024,2020–2024,Tetris,1,5,67,1985,2020,35,8
8,2020,2024,2020–2024,Bomberman,1,6,65,1985,2022,37,8
8,2020,2024,2020–2024,Castlevania,1,7,46,1986,2024,38,8
8,2020,2024,2020–2024,Mega Man,0,,44,1987,2019,32,7
