era_order,era_start,era_end,era,theme,rank,distinct_game_count,themed_games_in_era,share_of_themed_games_pct,overall_theme_rank,overall_distinct_game_count_1980_2024
1,1980,1984,1980–1984,Action,1,1870,2600,71.92,1,64768
1,1980,1984,1980–1984,Fantasy,3,327,2600,12.58,2,16005
1,1980,1984,1980–1984,Science fiction,2,767,2600,29.5,3,12918
1,1980,1984,1980–1984,Horror,4,73,2600,2.81,4,9435
1,1980,1984,1980–1984,Comedy,5,46,2600,1.77,5,8113
1,1980,1984,1980–1984,Erotic,7,25,2600,0.96,6,5612
1,1980,1984,1980–1984,Mystery,6,40,2600,1.54,7,4653
2,1985,1989,1985–1989,Action,1,1937,2981,64.98,1,64768
2,1985,1989,1985–1989,Fantasy,3,589,2981,19.76,2,16005
2,1985,1989,1985–1989,Science fiction,2,853,2981,28.61,3,12918
2,1985,1989,1985–1989,Horror,5,126,2981,4.23,4,9435
2,1985,1989,1985–1989,Comedy,4,147,2981,4.93,5,8113
2,1985,1989,1985–1989,Erotic,7,63,2981,2.11,6,5612
2,1985,1989,1985–1989,Mystery,6,79,2981,2.65,7,4653
3,1990,1994,1990–1994,Action,1,2521,4317,58.4,1,64768
3,1990,1994,1990–1994,Fantasy,3,850,4317,19.69,2,16005
3,1990,1994,1990–1994,Science fiction,2,985,4317,22.82,3,12918
3,1990,1994,1990–1994,Horror,5,185,4317,4.29,4,9435
3,1990,1994,1990–1994,Comedy,4,435,4317,10.08,5,8113
3,1990,1994,1990–1994,Erotic,6,177,4317,4.1,6,5612
3,1990,1994,1990–1994,Mystery,7,73,4317,1.69,7,4653
4,1995,1999,1995–1999,Action,1,2363,5099,46.34,1,64768
4,1995,1999,1995–1999,Fantasy,3,1027,5099,20.14,2,16005
4,1995,1999,1995–1999,Science fiction,2,1122,5099,22.0,3,12918
4,1995,1999,1995–1999,Horror,5,278,5099,5.45,4,9435
4,1995,1999,1995–1999,Comedy,4,545,5099,10.69,5,8113
4,1995,1999,1995–1999,Erotic,6,178,5099,3.49,6,5612
4,1995,1999,1995–1999,Mystery,7,155,5099,3.04,7,4653
5,2000,2004,2000–2004,Action,1,2967,5365,55.3,1,64768
5,2000,2004,2000–2004,Fantasy,2,957,5365,17.84,2,16005
5,2000,2004,2000–2004,Science fiction,3,943,5365,17.58,3,12918
5,2000,2004,2000–2004,Horror,5,275,5365,5.13,4,9435
5,2000,2004,2000–2004,Comedy,4,554,5365,10.33,5,8113
5,2000,2004,2000–2004,Erotic,6,161,5365,3.0,6,5612
5,2000,2004,2000–2004,Mystery,7,152,5365,2.83,7,4653
6,2005,2009,2005–2009,Action,1,3368,6655,50.61,1,64768
6,2005,2009,2005–2009,Fantasy,2,1229,6655,18.47,2,16005
6,2005,2009,2005–2009,Science fiction,3,966,6655,14.52,3,12918
6,2005,2009,2005–2009,Horror,5,384,6655,5.77,4,9435
6,2005,2009,2005–2009,Comedy,4,860,6655,12.92,5,8113
6,2005,2009,2005–2009,Erotic,7,172,6655,2.58,6,5612
6,2005,2009,2005–2009,Mystery,6,303,6655,4.55,7,4653
7,2010,2014,2010–2014,Action,1,4896,9567,51.18,1,64768
7,2010,2014,2010–2014,Fantasy,2,1907,9567,19.93,2,16005
7,2010,2014,2010–2014,Science fiction,3,1496,9567,15.64,3,12918
7,2010,2014,2010–2014,Horror,5,818,9567,8.55,4,9435
7,2010,2014,2010–2014,Comedy,4,1193,9567,12.47,5,8113
7,2010,2014,2010–2014,Erotic,7,229,9567,2.39,6,5612
7,2010,2014,2010–2014,Mystery,6,438,9567,4.58,7,4653
8,2015,2019,2015–2019,Action,1,17258,26038,66.28,1,64768
8,2015,2019,2015–2019,Fantasy,2,3484,26038,13.38,2,16005
8,2015,2019,2015–2019,Science fiction,3,2520,26038,9.68,3,12918
8,2015,2019,2015–2019,Horror,4,2033,26038,7.81,4,9435
8,2015,2019,2015–2019,Comedy,5,1622,26038,6.23,5,8113
8,2015,2019,2015–2019,Erotic,7,1004,26038,3.86,6,5612
8,2015,2019,2015–2019,Mystery,6,1134,26038,4.36,7,4653
9,2020,2024,2020–2024,Action,1,27588,44795,61.59,1,64768
9,2020,2024,2020–2024,Fantasy,2,5635,44795,12.58,2,16005
9,2020,2024,2020–2024,Science fiction,5,3266,44795,7.29,3,12918
9,2020,2024,2020–2024,Horror,3,5263,44795,11.75,4,9435
9,2020,2024,2020–2024,Comedy,6,2711,44795,6.05,5,8113
9,2020,2024,2020–2024,Erotic,4,3603,44795,8.04,6,5612
9,2020,2024,2020–2024,Mystery,7,2279,44795,5.09,7,4653
