era,theme,distinct_game_count,themed_games_in_era
1980–1984,Action,1863,2584
1980–1984,Fantasy,324,2584
1980–1984,Science fiction,764,2584
1980–1984,Horror,71,2584
1980–1984,Comedy,46,2584
1980–1984,Erotic,25,2584
1980–1984,Mystery,40,2584
1985–1989,Action,1911,2939
1985–1989,Fantasy,580,2939
1985–1989,Science fiction,841,2939
1985–1989,Horror,125,2939
1985–1989,Comedy,146,2939
1985–1989,Erotic,62,2939
1985–1989,Mystery,77,2939
1990–1994,Action,2441,4178
1990–1994,Fantasy,815,4178
1990–1994,Science fiction,962,4178
1990–1994,Horror,180,4178
1990–1994,Comedy,420,4178
1990–1994,Erotic,174,4178
1990–1994,Mystery,69,4178
1995–1999,Action,2227,4831
1995–1999,Fantasy,946,4831
1995–1999,Science fiction,1059,4831
1995–1999,Horror,262,4831
1995–1999,Comedy,517,4831
1995–1999,Erotic,177,4831
1995–1999,Mystery,149,4831
2000–2004,Action,2787,5057
2000–2004,Fantasy,860,5057
2000–2004,Science fiction,889,5057
2000–2004,Horror,257,5057
2000–2004,Comedy,537,5057
2000–2004,Erotic,154,5057
2000–2004,Mystery,144,5057
2005–2009,Action,3148,6284
2005–2009,Fantasy,1104,6284
2005–2009,Science fiction,893,6284
2005–2009,Horror,352,6284
2005–2009,Comedy,819,6284
2005–2009,Erotic,165,6284
2005–2009,Mystery,281,6284
2010–2014,Action,4549,9035
2010–2014,Fantasy,1750,9035
2010–2014,Science fiction,1390,9035
2010–2014,Horror,766,9035
2010–2014,Comedy,1117,9035
2010–2014,Erotic,222,9035
2010–2014,Mystery,410,9035
2015–2019,Action,16831,25361
2015–2019,Fantasy,3260,25361
2015–2019,Science fiction,2401,25361
2015–2019,Horror,1925,25361
2015–2019,Comedy,1567,25361
2015–2019,Erotic,990,25361
2015–2019,Mystery,1081,25361
2020–2024,Action,27055,43941
2020–2024,Fantasy,5432,43941
2020–2024,Science fiction,3128,43941
2020–2024,Horror,5115,43941
2020–2024,Comedy,2633,43941
2020–2024,Erotic,3587,43941
2020–2024,Mystery,2205,43941
