theme,year,prevalence_percent,game_count,themed_games_in_year,change_pp,abs_change_pp,direction
Action,2000,50.29,522,1038,13.62,13.62,Increase
Action,2024,63.91,7401,11580,13.62,13.62,Increase
Science fiction,2000,18.98,197,1038,-12.4,12.4,Decrease
Science fiction,2024,6.58,762,11580,-12.4,12.4,Decrease
Fantasy,2000,18.88,196,1038,-8.11,8.11,Decrease
Fantasy,2024,10.77,1247,11580,-8.11,8.11,Decrease
Horror,2000,5.11,53,1038,7.63,7.63,Increase
Horror,2024,12.74,1475,11580,7.63,7.63,Increase
Erotic,2000,2.31,24,1038,5.19,5.19,Increase
Erotic,2024,7.5,869,11580,5.19,5.19,Increase
Historical,2000,6.65,69,1038,-5.11,5.11,Decrease
Historical,2024,1.54,178,11580,-5.11,5.11,Decrease
Non-fiction,2000,5.49,57,1038,-4.97,4.97,Decrease
Non-fiction,2024,0.52,60,11580,-4.97,4.97,Decrease
Educational,2000,7.9,82,1038,-4.96,4.96,Decrease
Educational,2024,2.94,341,11580,-4.96,4.96,Decrease
