rank,title,recorded_total_sales_millions,platforms_with_reported_sales,earliest_recorded_release_year,dominant_genre,dominant_publisher,reported_platform_rows
1,Grand Theft Auto V,64.29,4,2013,Action,Rockstar Games,4
2,Call of Duty: Black Ops,30.99,5,2010,Shooter,Activision,5
3,Call of Duty: Modern Warfare 3,30.71,4,2011,Shooter,Activision,4
4,Call of Duty: Black Ops II,29.59,4,2012,Shooter,Activision,4
5,Call of Duty: Ghosts,28.8,6,2013,Shooter,Activision,6
6,Call of Duty: Black Ops 3,26.72,5,2015,Shooter,Activision,5
7,Call of Duty: Modern Warfare 2,25.02,3,2009,Shooter,Activision,3
8,Minecraft,24.01,7,2014,Misc,Sony Computer Entertainment America,7
9,Grand Theft Auto IV,22.53,3,2008,Action,Rockstar Games,3
10,Call of Duty: Advanced Warfare,21.78,5,2014,Shooter,Activision,5
11,The Elder Scrolls V: Skyrim,20.51,4,2011,Role-Playing,Bethesda Softworks,4
12,Call of Duty: WWII,19.82,3,2017,Shooter,Activision,3
